	65	65	70	70	75	75	
300	34.564	99.702	35.434	78.585	37.377	57.372	
310	45.609	61.911	43.086	52.668	42.124	41.264	
320	30.994	115.82	29.507	101.71	28.932	82.395	
330	30.071	160.19	25.766	157.57	19.486	151.38	
340	29.986	158.85	26.162	144.74	22.329	120.84	
350	31.647	122.76	30.778	101.36	31.644	76.357	
360	37.86	96.995	39.444	77.446	41.39	57.662	
370	62.125	88.76	67.601	63.944	67.647	33.582	
380	63.284	80.155	56.575	63.545	51.733	48.167	
390	41.352	86.025	39.9	71.035	39.612	54.641	
400	33.8	96.074	33.074	80.423	33.607	62.263	
410	29.873	108.28	28.513	92.259	28.562	71.908	
420	27.209	121.5	24.634	106.1	23.319	83.416	
430	25.169	135.23	21.151	122.01	17.713	97.455	
440	23.582	149.18	18.211	140.34	12.113	116.85	
450	22.415	163.1	16.123	161.1	7.6193	150.86	
460	21.666	176.69	15.148	176.87	6.7686	154.14	
470	21.317	170.39	15.294	155.92	9.6789	116.2	
480	21.327	158.42	16.29	138.03	13.433	97.402	
490	21.639	147.6	17.777	123.72	16.963	86.233	
500	22.191	138	19.483	112.51	20.075	78.557	
510	22.926	129.61	21.247	103.72	22.78	72.852	
520	23.798	122.35	22.993	96.749	25.144	68.432	
530	24.776	116.11	24.691	91.167	27.237	64.931	
540	25.838	110.78	26.341	86.658	29.128	62.125	
550	26.976	106.24	27.955	82.996	30.874	59.866	
560	28.185	102.39	29.55	80.013	32.527	58.044	
570	29.47	99.131	31.15	77.583	34.129	56.575	
580	30.836	96.391	32.777	75.605	35.718	55.389	
590	32.295	94.099	34.456	73.996	37.326	54.423	
600	33.858	92.196	36.208	72.689	38.983	53.621	
610	35.54	90.628	38.058	71.619	40.714	52.926	
620	37.357	89.349	40.026	70.732	42.54	52.28	
630	39.324	88.318	42.134	69.971	44.481	51.62	
640	41.458	87.498	44.398	69.282	46.547	50.878	
650	43.774	86.854	46.835	68.603	48.745	49.973	
660	46.286	86.355	49.455	67.868	51.072	48.812	
670	49.006	85.97	52.261	66.999	53.512	47.285	
680	51.941	85.669	55.249	65.896	56.037	45.259	
690	55.093	85.423	58.403	64.431	58.597	42.575	
700	58.459	85.197	61.692	62.421	61.123	39.05	
710	62.025	84.952	65.064	59.606	63.52	34.49	
720	65.77	84.633	68.442	55.586	65.671	28.725	
730	69.662	84.154	71.706	49.746	67.443	21.682	
740	73.659	83.362	74.677	41.17	68.708	13.497	
750	77.711	81.914	77.082	28.742	69.373	4.5858	
760	81.755	78.833	78.552	12.035	69.415	4.4056	
770	85.686	69.704	78.779	6.8588	68.888	12.82	
780	88.568	3.5443	77.804	23.846	67.909	20.208	
790	86.005	69.597	76.005	36.648	66.609	26.406	
800	82.454	79.425	73.775	45.583	65.113	31.46	
810	79.002	82.679	71.38	51.758	63.516	35.518	
820	75.728	84.217	68.97	56.098	61.891	38.758	
830	72.651	85.074	66.625	59.224	60.283	41.344	
840	69.777	85.599	64.386	61.529	58.725	43.414	
850	67.104	85.943	62.273	63.266	57.232	45.08	
860	64.625	86.181	60.293	64.602	55.816	46.427	
870	62.33	86.356	58.444	65.647	54.48	47.524	
880	60.206	86.492	56.723	66.478	53.224	48.424	
890	58.243	86.605	55.123	67.149	52.045	49.166	
900	56.427	86.706	53.635	67.7	50.941	49.784	
910	54.746	86.8	52.251	68.159	49.906	50.301	
920	53.19	86.894	50.963	68.546	48.937	50.738	
930	51.746	86.989	49.763	68.88	48.028	51.111	
940	50.406	87.089	48.644	69.171	47.176	51.43	
950	49.159	87.195	47.598	69.429	46.374	51.708	
960	47.998	87.307	46.619	69.662	45.62	51.951	
970	46.914	87.426	45.701	69.875	44.909	52.165	
980	45.901	87.554	44.839	70.073	44.237	52.358	
990	44.953	87.688	44.029	70.26	43.603	52.531	
1000	44.064	87.831	43.265	70.438	43.002	52.689	
