	65	65	70	70	75	75	
300	32.334	135.21	30.072	119.5	28.599	97.197	
310	31.37	113.53	30.582	94.308	31.332	71.779	
320	33.776	94.216	34.388	75.352	36.032	55.934	
330	41.218	78.395	42.208	61.395	43.16	44.959	
340	56.511	62.331	55.697	45.289	53.752	30.807	
350	76.087	12.09	69.112	1.6644	62.435	1.6975	
360	66.12	72.52	62.354	54.172	58.057	38.684	
370	50.292	84.131	49.303	67.704	48.213	50.927	
380	42.813	86.401	42.63	70.178	42.781	53.171	
390	38.854	88.844	38.966	72.268	39.695	54.746	
400	36.363	91.394	36.567	74.38	37.601	56.276	
410	34.603	93.997	34.795	76.561	35.995	57.86	
420	33.219	96.53	33.342	78.701	34.631	59.409	
430	32.066	98.906	32.088	80.715	33.418	60.847	
440	31.074	101.11	30.976	82.584	32.317	62.157	
450	30.203	103.15	29.975	84.311	31.305	63.34	
460	29.426	105.03	29.063	85.908	30.366	64.406	
470	28.725	106.78	28.225	87.39	29.491	65.367	
480	28.088	108.42	27.449	88.77	28.671	66.237	
490	27.504	109.95	26.729	90.061	27.899	67.024	
500	26.967	111.39	26.056	91.275	27.172	67.741	
510	26.469	112.75	25.424	92.422	26.483	68.395	
520	26.005	114.04	24.83	93.508	25.828	68.992	
530	25.571	115.27	24.268	94.539	25.206	69.536	
540	25.165	116.44	23.737	95.52	24.612	70.034	
550	24.782	117.56	23.232	96.456	24.046	70.487	
560	24.421	118.62	22.752	97.349	23.504	70.899	
570	24.08	119.64	22.295	98.203	22.986	71.274	
580	23.756	120.62	21.859	99.021	22.491	71.614	
590	23.45	121.56	21.443	99.805	22.016	71.921	
600	23.159	122.46	21.046	100.56	21.561	72.199	
610	22.883	123.32	20.667	101.28	21.125	72.449	
620	22.62	124.15	20.303	101.98	20.707	72.674	
630	22.369	124.96	19.956	102.65	20.306	72.875	
640	22.13	125.73	19.622	103.3	19.92	73.055	
650	21.902	126.48	19.303	103.93	19.55	73.215	
660	21.685	127.2	18.996	104.54	19.193	73.357	
670	21.477	127.9	18.701	105.13	18.85	73.481	
680	21.278	128.58	18.419	105.7	18.521	73.59	
690	21.087	129.23	18.146	106.26	18.203	73.684	
700	20.905	129.87	17.885	106.8	17.896	73.765	
710	20.73	130.49	17.633	107.32	17.601	73.833	
720	20.562	131.08	17.39	107.84	17.316	73.89	
730	20.401	131.67	17.156	108.34	17.041	73.936	
740	20.247	132.23	16.93	108.82	16.776	73.972	
750	20.098	132.79	16.712	109.3	16.519	73.999	
760	19.955	133.32	16.502	109.77	16.271	74.018	
770	19.818	133.85	16.299	110.23	16.031	74.028	
780	19.686	134.35	16.102	110.67	15.798	74.031	
790	19.559	134.85	15.913	111.11	15.573	74.027	
800	19.436	135.34	15.729	111.54	15.355	74.017	
810	19.318	135.81	15.551	111.96	15.144	74	
820	19.204	136.27	15.379	112.38	14.939	73.978	
830	19.094	136.73	15.212	112.79	14.74	73.951	
840	18.988	137.17	15.051	113.19	14.548	73.919	
850	18.885	137.6	14.894	113.58	14.36	73.882	
860	18.786	138.02	14.742	113.97	14.178	73.841	
870	18.69	138.44	14.595	114.35	14.002	73.796	
880	18.598	138.84	14.452	114.72	13.83	73.748	
890	18.508	139.24	14.313	115.09	13.662	73.696	
900	18.421	139.63	14.178	115.46	13.5	73.64	
910	18.337	140.01	14.047	115.82	13.341	73.582	
920	18.256	140.38	13.919	116.17	13.187	73.52	
930	18.178	140.75	13.795	116.52	13.037	73.456	
940	18.101	141.11	13.675	116.87	12.891	73.389	
950	18.027	141.46	13.557	117.21	12.748	73.321	
960	17.956	141.8	13.443	117.55	12.609	73.249	
970	17.886	142.14	13.332	117.88	12.474	73.176	
980	17.819	142.47	13.224	118.21	12.341	73.101	
990	17.753	142.8	13.118	118.53	12.212	73.024	
1000	17.69	143.12	13.016	118.85	12.086	72.945	
