	65	65	70	70	75	75	
300	32.59	95.628	32.646	79.181	33.827	60.712	
310	30.854	127.99	28.759	113.29	27.477	92.275	
320	30.5	154.22	26.668	146.41	21.758	131.72	
330	30.093	178.14	25.524	179.87	18.728	176.9	
340	29.974	159.32	25.964	148.35	21.302	128.6	
350	30.688	138.62	28.158	121.67	26.661	97.364	
360	32.795	120.29	31.89	101.15	32.345	78.086	
370	35.669	103.87	36.022	84.894	37.277	64.323	
380	39.259	93.02	40.385	75.051	41.726	56.441	
390	45.397	86.85	46.957	69.376	47.809	51.484	
400	54.805	83.059	56.4	63.937	55.956	44.76	
410	67.617	79.402	68.191	52.33	64.735	29.52	
420	82.293	65	77.554	13.063	69.161	0.56579	
430	82.192	72.131	74.323	42.066	66.139	28.734	
440	70.699	84.855	65.91	60.903	60.382	42.717	
450	61.906	87.583	58.758	67.36	55.168	49.016	
460	55.448	88.932	53.333	70.335	51.056	52.171	
470	50.666	89.939	49.238	72.078	47.872	53.992	
480	47.041	90.862	46.082	73.321	45.368	55.205	
490	44.217	91.773	43.582	74.341	43.349	56.122	
500	41.958	92.693	41.548	75.255	41.677	56.883	
510	40.106	93.625	39.851	76.114	40.258	57.557	
520	38.556	94.563	38.404	76.94	39.028	58.177	
530	37.232	95.502	37.146	77.743	37.942	58.759	
540	36.083	96.437	36.035	78.527	36.967	59.312	
550	35.072	97.362	35.041	79.293	36.081	59.839	
560	34.172	98.275	34.14	80.042	35.267	60.343	
570	33.362	99.174	33.317	80.773	34.513	60.826	
580	32.626	100.06	32.557	81.487	33.809	61.287	
590	31.954	100.92	31.852	82.182	33.147	61.729	
600	31.334	101.76	31.194	82.86	32.523	62.151	
610	30.761	102.59	30.577	83.521	31.93	62.553	
620	30.227	103.4	29.995	84.164	31.367	62.937	
630	29.728	104.19	29.445	84.79	30.829	63.304	
640	29.26	104.96	28.922	85.399	30.314	63.653	
650	28.82	105.71	28.426	85.993	29.821	63.985	
660	28.404	106.45	27.952	86.571	29.347	64.302	
670	28.01	107.17	27.499	87.134	28.891	64.604	
680	27.637	107.87	27.066	87.684	28.451	64.891	
690	27.282	108.55	26.65	88.22	28.027	65.164	
700	26.944	109.22	26.251	88.742	27.617	65.424	
710	26.622	109.88	25.867	89.253	27.221	65.671	
720	26.314	110.52	25.498	89.751	26.838	65.907	
730	26.02	111.15	25.141	90.238	26.467	66.131	
740	25.738	111.76	24.798	90.714	26.107	66.344	
750	25.467	112.36	24.466	91.18	25.758	66.547	
760	25.208	112.95	24.145	91.637	25.419	66.74	
770	24.958	113.53	23.835	92.083	25.09	66.924	
780	24.718	114.1	23.534	92.521	24.77	67.099	
790	24.487	114.65	23.243	92.951	24.459	67.265	
800	24.265	115.2	22.961	93.372	24.156	67.424	
810	24.05	115.73	22.688	93.785	23.862	67.574	
820	23.843	116.26	22.422	94.191	23.575	67.718	
830	23.643	116.77	22.165	94.59	23.296	67.855	
840	23.45	117.28	21.914	94.983	23.024	67.985	
850	23.263	117.78	21.671	95.368	22.758	68.109	
860	23.083	118.27	21.434	95.748	22.499	68.227	
870	22.908	118.75	21.203	96.121	22.247	68.339	
880	22.739	119.22	20.979	96.489	22	68.445	
890	22.575	119.69	20.761	96.852	21.76	68.547	
900	22.416	120.15	20.548	97.209	21.525	68.643	
910	22.262	120.6	20.341	97.561	21.295	68.735	
920	22.113	121.04	20.139	97.908	21.071	68.822	
930	21.968	121.48	19.942	98.25	20.851	68.905	
940	21.827	121.91	19.75	98.588	20.637	68.983	
950	21.69	122.33	19.562	98.922	20.427	69.058	
960	21.557	122.75	19.379	99.252	20.222	69.129	
970	21.428	123.16	19.201	99.577	20.021	69.196	
980	21.303	123.57	19.026	99.899	19.824	69.26	
990	21.181	123.97	18.856	100.22	19.631	69.32	
1000	21.062	124.36	18.689	100.53	19.443	69.377	
