	65	65	70	70	75	75	
300	34.778	118.31	32.921	108.54	31.19	93.865	
310	31.809	143.48	28.163	140.09	22.956	132.64	
320	30.334	170.03	25.79	177.07	19.213	190.26	
330	30.102	195.65	26.45	212.6	23.264	240.14	
340	30.989	218.31	29.172	240.35	29.176	268.68	
350	32.937	236.79	32.818	259.6	34.318	-75.092	
360	36.233	250.72	37.383	-88.206	39.367	-66.322	
370	41.21	260.07	43.848	-82.044	46.422	-63.274	
380	50.482	262.35	56.436	-81.561	60.973	-60.299	
390	68.858	258.05	79.179	-66.798	76.14	-1.8163	
400	84.346	107.62	72.233	62.097	61.832	46.247	
410	62.552	86.501	55.037	68.19	49.983	51.623	
420	49.004	85.549	45.118	69.792	43.07	53.373	
430	41.063	87.48	39.038	72.167	38.517	55.416	
440	36.027	91.119	34.8	75.637	35.005	58.161	
450	32.509	95.923	31.472	80.044	31.928	61.522	
460	29.844	101.55	28.619	85.229	28.994	65.374	
470	27.701	107.79	26.032	91.102	26.06	69.623	
480	25.907	114.5	23.615	97.644	23.059	74.226	
490	24.375	121.58	21.333	104.9	19.972	79.195	
500	23.055	128.97	19.188	112.96	16.807	84.623	
510	21.924	136.6	17.209	121.98	13.6	90.756	
520	20.968	144.42	15.444	132.13	10.404	98.19	
530	20.18	152.36	13.953	143.52	7.3043	108.53	
540	19.556	160.35	12.805	156.16	4.4909	127.19	
550	19.089	168.3	12.059	169.75	2.717	172.84	
560	18.773	176.13	11.743	183.68	3.5773	229.6	
570	18.597	183.77	11.838	197.17	5.8014	253.55	
580	18.55	191.13	12.279	209.54	8.1854	264.87	
590	18.617	198.16	12.981	220.46	10.486	-88.05	
600	18.786	204.82	13.862	229.88	12.648	-82.871	
610	19.041	211.09	14.852	237.94	14.657	-78.739	
620	19.369	216.95	15.902	244.84	16.517	-75.274	
630	19.759	222.41	16.976	250.78	18.235	-72.28	
640	20.2	227.48	18.054	255.93	19.824	-69.644	
650	20.685	232.18	19.12	260.43	21.296	-67.293	
660	21.205	236.53	20.169	264.4	22.665	-65.179	
670	21.756	240.55	21.195	267.93	23.943	-63.265	
680	22.334	244.27	22.199	-88.928	25.143	-61.526	
690	22.936	247.71	23.182	-86.102	26.275	-59.938	
700	23.561	250.9	24.147	-83.55	27.35	-58.483	
710	24.207	253.85	25.096	-81.236	28.378	-57.146	
720	24.876	256.59	26.034	-79.128	29.368	-55.914	
730	25.567	259.14	26.964	-77.199	30.327	-54.773	
740	26.281	261.51	27.892	-75.428	31.263	-53.713	
750	27.021	263.71	28.82	-73.793	32.183	-52.723	
760	27.789	265.77	29.755	-72.278	33.093	-51.791	
770	28.586	267.7	30.7	-70.865	34	-50.908	
780	29.415	269.52	31.659	-69.541	34.907	-50.065	
790	30.279	-88.778	32.638	-68.29	35.82	-49.25	
800	31.182	-87.164	33.639	-67.099	36.743	-48.453	
810	32.126	-85.63	34.666	-65.955	37.679	-47.665	
820	33.115	-84.164	35.725	-64.845	38.632	-46.873	
830	34.152	-82.756	36.817	-63.756	39.605	-46.066	
840	35.24	-81.391	37.945	-62.673	40.599	-45.233	
850	36.383	-80.06	39.113	-61.583	41.615	-44.36	
860	37.585	-78.748	40.322	-60.472	42.653	-43.435	
870	38.847	-77.443	41.573	-59.323	43.713	-42.443	
880	40.174	-76.13	42.867	-58.12	44.792	-41.371	
890	41.566	-74.795	44.203	-56.845	45.888	-40.203	
900	43.027	-73.421	45.579	-55.48	46.997	-38.923	
910	44.555	-71.99	46.992	-54.003	48.111	-37.518	
920	46.152	-70.482	48.436	-52.392	49.225	-35.97	
930	47.816	-68.872	49.905	-50.623	50.328	-34.267	
940	49.542	-67.136	51.39	-48.669	51.411	-32.396	
950	51.326	-65.241	52.878	-46.503	52.462	-30.345	
960	53.159	-63.152	54.355	-44.098	53.467	-28.109	
970	55.031	-60.828	55.806	-41.424	54.413	-25.683	
980	56.927	-58.219	57.209	-38.456	55.287	-23.072	
990	58.828	-55.267	58.543	-35.172	56.074	-20.284	
1000	60.71	-51.908	59.785	-31.556	56.762	-17.337	
