	65	65	70	70	75	75	
300	33.506	94.348	33.34	79.494	34.202	62.088	
310	31.19	146.22	27.885	137.79	23.831	122.74	
320	30.608	169.75	26.373	161.18	20.772	145.16	
330	30.749	129.11	29.071	108.83	29.099	83.227	
340	35.433	96.068	36.751	75.879	38.787	55.762	
350	59.551	73.094	62.084	48.808	60.601	27.042	
360	58.666	77.539	53.596	62.079	49.958	47.067	
370	38.844	91.183	38.185	75.9	38.429	58.83	
380	32.892	107.11	31.907	91.703	32.029	72.548	
390	29.397	123.86	27.023	109.49	25.559	88.467	
400	26.946	140.29	22.942	128.98	18.893	107.69	
410	25.214	156.51	19.835	150.88	12.836	135.49	
420	24.031	172.4	17.966	174.79	9.4707	179.52	
430	23.347	172.44	17.492	161.47	10.836	132.73	
440	23.127	158.38	18.201	140.58	14.586	105.33	
450	23.314	145.75	19.643	123.75	18.469	89.627	
460	23.833	134.68	21.428	110.73	21.901	79.411	
470	24.613	125.17	23.324	100.72	24.843	72.193	
480	25.599	117.13	25.228	93.009	27.384	66.86	
490	26.751	110.41	27.111	87.018	29.633	62.829	
500	28.05	104.84	28.982	82.344	31.693	59.751	
510	29.491	100.26	30.868	78.69	33.648	57.389	
520	31.078	96.526	32.805	75.837	35.571	55.571	
530	32.827	93.504	34.831	73.611	37.523	54.159	
540	34.758	91.086	36.989	71.872	39.56	53.03	
550	36.895	89.174	39.317	70.497	41.725	52.067	
560	39.267	87.683	41.855	69.373	44.056	51.149	
570	41.902	86.536	44.635	68.386	46.58	50.144	
580	44.828	85.663	47.684	67.419	49.306	48.895	
590	48.068	84.998	51.019	66.331	52.224	47.218	
600	51.638	84.479	54.636	64.95	55.292	44.884	
610	55.543	84.039	58.508	63.043	58.43	41.614	
620	59.771	83.601	62.573	60.264	61.507	37.075	
630	64.291	83.064	66.72	56.074	64.342	30.924	
640	69.049	82.265	70.767	49.575	66.703	22.923	
650	73.965	80.875	74.412	39.322	68.351	13.181	
660	78.939	78.032	77.173	23.53	69.111	2.3789	
670	83.817	70.295	78.413	2.305	68.956	8.3354	
680	87.867	25.703	77.819	19.199	68.025	17.895	
690	85.805	64.475	75.838	35.536	66.549	25.768	
700	81.57	78.111	73.168	46.309	64.757	31.945	
710	77.458	82.194	70.279	53.265	62.826	36.68	
720	73.619	84.043	67.412	57.872	60.875	40.283	
730	70.082	85.051	64.678	61.028	58.977	43.03	
740	66.845	85.666	62.123	63.263	57.172	45.138	
750	63.895	86.072	59.764	64.892	55.478	46.769	
760	61.214	86.361	57.597	66.11	53.903	48.044	
770	58.779	86.583	55.614	67.043	52.444	49.051	
780	56.567	86.765	53.799	67.775	51.096	49.855	
790	54.556	86.927	52.139	68.361	49.852	50.504	
800	52.725	87.078	50.618	68.84	48.703	51.034	
810	51.053	87.226	49.222	69.243	47.64	51.473	
820	49.525	87.377	47.938	69.588	46.655	51.841	
830	48.123	87.533	46.754	69.89	45.742	52.154	
840	46.835	87.695	45.66	70.161	44.891	52.424	
850	45.648	87.866	44.646	70.409	44.099	52.66	
860	44.551	88.045	43.703	70.639	43.357	52.87	
870	43.535	88.233	42.825	70.858	42.662	53.059	
880	42.592	88.431	42.004	71.067	42.009	53.232	
890	41.713	88.637	41.236	71.271	41.394	53.392	
900	40.894	88.852	40.515	71.471	40.814	53.542	
910	40.127	89.076	39.836	71.668	40.264	53.685	
920	39.408	89.307	39.195	71.865	39.742	53.821	
930	38.732	89.546	38.589	72.06	39.247	53.953	
940	38.096	89.791	38.016	72.256	38.775	54.08	
950	37.496	90.044	37.471	72.453	38.324	54.206	
960	36.929	90.302	36.953	72.651	37.893	54.329	
970	36.391	90.566	36.459	72.851	37.48	54.45	
980	35.882	90.835	35.988	73.052	37.083	54.57	
990	35.398	91.109	35.537	73.254	36.702	54.689	
1000	34.937	91.387	35.105	73.458	36.336	54.808	
