	65	65	70	70	75	75	
300	33.957	82.245	35.015	64.423	36.885	47.096	
310	41.752	47.97	42.651	35.439	43.412	24.816	
320	50.082	1.6105	48.714	2.8736	47.588	3.0008	
330	46.508	44.412	45.909	34.979	45.503	25.918	
340	41.15	65.923	41.488	52.277	42.103	38.863	
350	38.116	78.199	38.654	62.679	39.706	46.933	
360	36.673	87.846	37.064	71.312	38.171	53.906	
370	34.926	97.241	35.01	80.014	36.06	61.074	
380	32.618	103.64	32.369	85.804	33.374	65.581	
390	30.756	107.61	30.219	89.242	31.168	67.97	
400	29.418	110.42	28.639	91.616	29.517	69.475	
410	28.438	112.83	27.435	93.699	28.215	70.793	
420	27.627	115.05	26.404	95.653	27.069	72.019	
430	26.911	117.09	25.476	97.447	26.02	73.1	
440	26.263	118.94	24.627	99.076	25.052	74.026	
450	25.672	120.63	23.846	100.55	24.156	74.811	
460	25.131	122.18	23.126	101.9	23.326	75.472	
470	24.634	123.6	22.46	103.14	22.557	76.029	
480	24.177	124.92	21.844	104.28	21.841	76.502	
490	23.755	126.16	21.271	105.35	21.174	76.903	
500	23.365	127.31	20.737	106.35	20.55	77.247	
510	23.002	128.41	20.238	107.3	19.965	77.543	
520	22.664	129.44	19.77	108.21	19.414	77.797	
530	22.348	130.43	19.329	109.07	18.893	78.012	
540	22.051	131.37	18.913	109.9	18.401	78.193	
550	21.771	132.27	18.519	110.69	17.934	78.343	
560	21.508	133.13	18.146	111.45	17.49	78.463	
570	21.258	133.95	17.791	112.18	17.069	78.556	
580	21.023	134.74	17.454	112.88	16.667	78.623	
590	20.799	135.5	17.133	113.56	16.285	78.668	
600	20.587	136.23	16.828	114.22	15.921	78.693	
610	20.385	136.93	16.537	114.85	15.574	78.697	
620	20.194	137.61	16.259	115.46	15.243	78.684	
630	20.011	138.26	15.994	116.06	14.926	78.655	
640	19.838	138.89	15.74	116.63	14.623	78.61	
650	19.672	139.49	15.497	117.19	14.334	78.553	
660	19.514	140.08	15.265	117.74	14.056	78.483	
670	19.363	140.65	15.042	118.27	13.79	78.401	
680	19.219	141.2	14.829	118.78	13.535	78.31	
690	19.081	141.73	14.624	119.28	13.291	78.209	
700	18.949	142.24	14.428	119.77	13.056	78.099	
710	18.823	142.74	14.239	120.25	12.83	77.982	
720	18.701	143.23	14.057	120.72	12.613	77.857	
730	18.585	143.7	13.883	121.18	12.404	77.726	
740	18.474	144.16	13.715	121.63	12.203	77.589	
750	18.367	144.6	13.553	122.07	12.009	77.446	
760	18.265	145.03	13.397	122.5	11.822	77.299	
770	18.166	145.46	13.247	122.92	11.642	77.147	
780	18.071	145.87	13.102	123.34	11.468	76.991	
790	17.98	146.27	12.962	123.74	11.3	76.831	
800	17.892	146.66	12.827	124.14	11.137	76.668	
810	17.807	147.04	12.697	124.53	10.98	76.502	
820	17.726	147.41	12.571	124.92	10.828	76.333	
830	17.647	147.77	12.449	125.3	10.681	76.162	
840	17.572	148.12	12.331	125.67	10.539	75.988	
850	17.499	148.47	12.217	126.04	10.401	75.812	
860	17.428	148.8	12.106	126.41	10.268	75.634	
870	17.36	149.13	11.999	126.76	10.138	75.455	
880	17.294	149.46	11.896	127.11	10.012	75.274	
890	17.231	149.77	11.795	127.46	9.8903	75.093	
900	17.169	150.08	11.698	127.8	9.7718	74.909	
910	17.11	150.38	11.603	128.14	9.6568	74.725	
920	17.052	150.68	11.512	128.47	9.545	74.54	
930	16.997	150.97	11.423	128.8	9.4363	74.355	
940	16.943	151.25	11.336	129.12	9.3306	74.168	
950	16.891	151.53	11.252	129.44	9.2278	73.982	
960	16.84	151.8	11.171	129.76	9.1277	73.794	
970	16.791	152.06	11.092	130.07	9.0303	73.606	
980	16.744	152.33	11.015	130.38	8.9354	73.419	
990	16.698	152.58	10.94	130.68	8.843	73.231	
1000	16.653	152.83	10.867	130.98	8.7529	73.042	
