	65	65	70	70	75	75	
300	54.096	0.016872	51.492	5.7378	49.341	7.259	
310	32.557	85.517	33.042	69.72	34.575	52.78	
320	30.216	117.28	28.821	100.95	28.67	79.658	
330	30.001	142.45	26.735	130.93	23.385	111.54	
340	29.869	164.93	25.436	161.3	19.069	153.43	
350	29.993	173.94	25.479	168.57	19.07	157.93	
360	30.944	153.15	27.5	140.16	23.974	118.68	
370	31.775	131.22	29.956	113.14	29.394	89.189	
380	31.846	113.49	31.405	93.521	32.474	70.757	
390	32.831	100.85	33.416	81.042	35.185	60.317	
400	35.148	91.79	36.405	72.918	38.307	53.992	
410	38.947	85.152	40.571	67.229	42.195	49.569	
420	44.397	79.944	46.097	62.416	47.042	45.34	
430	51.688	75.076	53.044	56.746	52.756	39.458	
440	60.758	68.77	60.961	47.51	58.599	29.634	
450	70.801	56.659	68.25	30.025	62.969	14.137	
460	79.035	23.424	71.838	0.94081	64.241	4.846	
470	78.567	35.216	69.996	27.818	62.514	21.301	
480	71.845	61.935	65.328	45.093	59.318	32.447	
490	65.051	71.915	60.37	54.322	55.89	39.38	
500	59.344	76.851	55.986	59.588	52.759	43.727	
510	54.72	79.837	52.308	62.886	50.056	46.57	
520	50.986	81.915	49.261	65.139	47.763	48.532	
530	47.945	83.512	46.725	66.8	45.815	49.96	
540	45.438	84.836	44.594	68.108	44.15	51.057	
550	43.342	85.991	42.781	69.194	42.711	51.939	
560	41.566	87.036	41.219	70.136	41.452	52.678	
570	40.041	88.007	39.856	70.98	40.338	53.318	
580	38.715	88.924	38.654	71.755	39.342	53.887	
590	37.551	89.801	37.582	72.478	38.442	54.405	
600	36.518	90.645	36.616	73.163	37.622	54.882	
610	35.592	91.463	35.739	73.818	36.868	55.328	
620	34.757	92.258	34.937	74.447	36.17	55.748	
630	33.998	93.033	34.197	75.055	35.52	56.146	
640	33.303	93.79	33.512	75.645	34.91	56.526	
650	32.663	94.531	32.872	76.219	34.337	56.888	
660	32.072	95.256	32.274	76.778	33.794	57.236	
670	31.522	95.966	31.711	77.323	33.279	57.571	
680	31.008	96.663	31.179	77.856	32.789	57.892	
690	30.527	97.347	30.675	78.378	32.32	58.202	
700	30.075	98.018	30.196	78.889	31.871	58.502	
710	29.649	98.677	29.74	79.389	31.44	58.79	
720	29.246	99.324	29.305	79.88	31.025	59.069	
730	28.864	99.96	28.888	80.361	30.626	59.339	
740	28.501	100.59	28.488	80.834	30.24	59.6	
750	28.156	101.2	28.104	81.298	29.866	59.852	
760	27.826	101.81	27.734	81.754	29.505	60.096	
770	27.512	102.4	27.378	82.202	29.154	60.333	
780	27.21	102.99	27.034	82.643	28.814	60.562	
790	26.922	103.56	26.701	83.076	28.484	60.784	
800	26.645	104.13	26.38	83.503	28.162	60.999	
810	26.379	104.69	26.069	83.923	27.849	61.207	
820	26.123	105.24	25.768	84.337	27.545	61.409	
830	25.877	105.78	25.475	84.744	27.248	61.605	
840	25.64	106.32	25.191	85.146	26.958	61.795	
850	25.411	106.84	24.915	85.541	26.676	61.979	
860	25.19	107.36	24.647	85.931	26.4	62.158	
870	24.976	107.87	24.387	86.316	26.13	62.331	
880	24.77	108.38	24.133	86.696	25.867	62.499	
890	24.57	108.88	23.886	87.071	25.609	62.663	
900	24.377	109.37	23.645	87.44	25.357	62.821	
910	24.189	109.85	23.41	87.805	25.111	62.975	
920	24.008	110.33	23.181	88.166	24.869	63.125	
930	23.832	110.8	22.957	88.522	24.633	63.27	
940	23.661	111.27	22.739	88.874	24.401	63.411	
950	23.495	111.73	22.526	89.222	24.174	63.548	
960	23.334	112.18	22.318	89.565	23.952	63.681	
970	23.177	112.63	22.115	89.905	23.734	63.81	
980	23.025	113.07	21.916	90.241	23.52	63.936	
990	22.877	113.51	21.721	90.574	23.31	64.058	
1000	22.733	113.94	21.531	90.902	23.104	64.176	
