	65	65	70	70	75	75	
300	39.128	249.73	40.704	269.29	42.732	-70.09	
310	43.229	253.65	46.637	269.81	50.089	-72.181	
320	51.893	247.98	59.301	259.41	67.112	-81.2	
330	66.315	222.08	79.343	206.07	83.524	73.498	
340	70.593	147.13	67.521	100.74	60.332	68.342	
350	57.373	109.22	52.813	84.486	49.07	62.514	
360	47.499	99.502	44.97	80.517	43.49	61.379	
370	41.498	98.537	40.117	82.185	39.675	64.194	
380	37.275	101.78	36.096	86.609	35.904	68.686	
390	33.93	106.83	32.516	92.098	32.162	73.562	
400	31.246	112.84	29.348	98.363	28.521	78.845	
410	29.054	119.66	26.489	105.6	24.893	84.896	
420	27.184	127.12	23.823	113.86	21.168	91.88	
430	25.569	135.04	21.348	123.15	17.381	100.04	
440	24.185	143.25	19.122	133.52	13.647	110.09	
450	23.026	151.64	17.223	145.05	10.155	123.77	
460	22.087	160.12	15.73	157.7	7.2532	144.99	
470	21.362	168.57	14.709	171.19	5.662	178.85	
480	20.839	176.89	14.186	184.98	6.094	216.29	
490	20.505	184.98	14.133	198.35	7.9231	241.29	
500	20.342	192.76	14.477	210.68	10.196	256.12	
510	20.328	200.16	15.121	221.62	12.498	265.78	
520	20.444	207.13	15.968	231.12	14.69	-87.268	
530	20.667	213.65	16.941	239.27	16.729	-81.886	
540	20.982	219.72	17.983	246.27	18.608	-77.519	
550	21.371	225.33	19.055	252.29	20.334	-73.859	
560	21.821	230.5	20.133	257.5	21.921	-70.723	
570	22.323	235.26	21.201	262.05	23.386	-67.995	
580	22.867	239.64	22.254	266.04	24.743	-65.595	
590	23.449	243.66	23.289	269.57	26.01	-63.466	
600	24.064	247.36	24.305	-87.293	27.2	-61.564	
610	24.709	250.76	25.306	-84.491	28.328	-59.856	
620	25.385	253.89	26.295	-81.974	29.406	-58.313	
630	26.09	256.77	27.278	-79.703	30.445	-56.913	
640	26.826	259.43	28.258	-77.643	31.456	-55.636	
650	27.595	261.88	29.243	-75.767	32.447	-54.463	
660	28.4	264.16	30.237	-74.048	33.428	-53.377	
670	29.242	266.28	31.247	-72.463	34.407	-52.363	
680	30.126	268.25	32.278	-70.992	35.389	-51.406	
690	31.056	-89.91	33.335	-69.615	36.383	-50.49	
700	32.035	-88.177	34.425	-68.314	37.393	-49.6	
710	33.068	-86.54	35.552	-67.069	38.424	-48.721	
720	34.16	-84.981	36.721	-65.863	39.48	-47.837	
730	35.315	-83.486	37.937	-64.677	40.565	-46.93	
740	36.539	-82.038	39.203	-63.492	41.68	-45.983	
750	37.834	-80.62	40.523	-62.288	42.827	-44.978	
760	39.207	-79.215	41.898	-61.043	44.004	-43.895	
770	40.661	-77.805	43.33	-59.736	45.209	-42.712	
780	42.199	-76.368	44.818	-58.34	46.438	-41.409	
790	43.824	-74.883	46.359	-56.829	47.685	-39.962	
800	45.537	-73.323	47.948	-55.172	48.94	-38.35	
810	47.337	-71.661	49.578	-53.338	50.193	-36.55	
820	49.221	-69.862	51.238	-51.289	51.43	-34.542	
830	51.185	-67.887	52.914	-48.986	52.635	-32.307	
840	53.219	-65.688	54.587	-46.389	53.789	-29.833	
850	55.309	-63.209	56.233	-43.454	54.874	-27.111	
860	57.437	-60.382	57.827	-40.14	55.868	-24.144	
870	59.577	-57.125	59.336	-36.412	56.752	-20.946	
880	61.697	-53.339	60.726	-32.247	57.507	-17.54	
890	63.754	-48.915	61.96	-27.639	58.118	-13.965	
900	65.696	-43.732	63.003	-22.615	58.574	-10.27	
910	67.462	-37.681	63.824	-17.234	58.87	-6.5128	
920	68.98	-30.693	64.398	-11.594	59.004	-2.7555	
930	70.176	-22.79	64.712	-5.8262	58.984	0.94121	
940	70.984	-14.139	64.767	-0.075448	58.819	4.5226	
950	71.361	-5.0701	64.576	5.5149	58.525	7.9435	
960	71.297	3.9762	64.164	10.825	58.116	11.171	
970	70.826	12.566	63.56	15.768	57.613	14.182	
980	70.009	20.383	62.802	20.296	57.032	16.969	
990	68.922	27.278	61.922	24.393	56.39	19.529	
1000	67.641	33.239	60.954	28.068	55.704	21.867	
