	65.0	70.0	75.0	65.0	70.0	75.0	
300.0	36.787	36.905	37.947	37.511	37.209	37.514	
301.0	36.785	36.957	38.045	37.295	36.907	37.453	
302.0	36.796	37.02	38.151	37.087	36.772	37.279	
303.0	36.818	37.093	38.264	37.019	36.553	37.024	
304.0	36.85	37.176	38.385	36.99	36.489	37.052	
305.0	36.892	37.268	38.513	36.884	36.423	36.867	
306.0	36.944	37.369	38.647	36.614	36.185	36.77	
307.0	37.004	37.477	38.787	36.511	36.277	36.641	
308.0	37.072	37.593	38.934	36.334	36.128	36.541	
309.0	37.148	37.716	39.085	36.365	35.959	36.377	
310.0	37.23	37.844	39.242	36.171	35.873	36.379	
311.0	37.32	37.98	39.403	36.159	35.715	36.319	
312.0	37.415	38.12	39.569	36.209	35.719	36.207	
313.0	37.516	38.266	39.74	35.89	35.526	36.139	
314.0	37.622	38.416	39.915	35.955	35.547	35.953	
315.0	37.734	38.572	40.093	35.892	35.364	35.909	
316.0	37.85	38.731	40.276	35.798	35.418	35.815	
317.0	37.971	38.895	40.463	35.661	35.298	35.754	
318.0	38.096	39.063	40.653	35.561	35.153	35.59	
319.0	38.225	39.235	40.847	35.518	35.053	35.611	
320.0	38.358	39.411	41.045	35.535	35.035	35.459	
321.0	38.495	39.59	41.247	35.427	34.977	35.375	
322.0	38.635	39.773	41.453	35.393	34.901	35.332	
323.0	38.779	39.959	41.662	35.355	34.78	35.278	
324.0	38.926	40.149	41.875	35.23	34.786	35.152	
325.0	39.076	40.342	42.092	35.241	34.578	35.091	
326.0	39.23	40.538	42.313	35.155	34.568	35.032	
327.0	39.386	40.738	42.538	35.062	34.546	34.927	
328.0	39.546	40.94	42.766	35.028	34.498	34.847	
329.0	39.708	41.146	42.999	34.999	34.432	34.774	
330.0	39.873	41.355	43.237	35.011	34.459	34.767	
331.0	40.041	41.568	43.478	34.888	34.365	34.712	
332.0	40.211	41.783	43.724	34.842	34.23	34.555	
333.0	40.385	42.001	43.974	34.885	34.182	34.577	
334.0	40.56	42.223	44.229	34.798	34.161	34.525	
335.0	40.739	42.448	44.488	34.731	34.097	34.447	
336.0	40.92	42.676	44.752	34.609	34.041	34.358	
337.0	41.103	42.907	45.021	34.687	34.006	34.353	
338.0	41.289	43.141	45.295	34.632	33.962	34.303	
339.0	41.477	43.378	45.573	34.529	33.832	34.23	
340.0	41.668	43.618	45.857	34.579	33.724	34.179	
341.0	41.861	43.861	46.146	34.486	33.766	34.165	
342.0	42.056	44.107	46.439	34.466	33.725	34.1	
