	65	70	75	65	70	75	
300	54.949	58.506	61.815	37.511	37.209	37.514	
301	55.014	58.46	61.516	37.295	36.907	37.453	
302	55.054	58.382	61.192	37.087	36.772	37.279	
303	55.071	58.276	60.848	37.019	36.553	37.024	
304	55.066	58.144	60.488	36.99	36.489	37.052	
305	55.039	57.988	60.115	36.884	36.423	36.867	
306	54.994	57.812	59.732	36.614	36.185	36.77	
307	54.932	57.618	59.343	36.511	36.277	36.641	
308	54.852	57.406	58.947	36.334	36.128	36.541	
309	54.757	57.182	58.55	36.365	35.959	36.377	
310	54.649	56.945	58.152	36.171	35.873	36.379	
311	54.528	56.697	57.754	36.159	35.715	36.319	
312	54.395	56.441	57.359	36.209	35.719	36.207	
313	54.252	56.178	56.966	35.89	35.526	36.139	
314	54.1	55.909	56.578	35.955	35.547	35.953	
315	53.939	55.636	56.194	35.892	35.364	35.909	
316	53.771	55.359	55.816	35.798	35.418	35.815	
317	53.596	55.079	55.443	35.661	35.298	35.754	
318	53.416	54.798	55.077	35.561	35.153	35.59	
319	53.23	54.516	54.718	35.518	35.053	35.611	
320	53.04	54.234	54.365	35.535	35.035	35.459	
321	52.846	53.953	54.02	35.427	34.977	35.375	
322	52.649	53.673	53.682	35.393	34.901	35.332	
323	52.45	53.394	53.351	35.355	34.78	35.278	
324	52.248	53.117	53.028	35.23	34.786	35.152	
325	52.045	52.842	52.711	35.241	34.578	35.091	
326	51.84	52.57	52.402	35.155	34.568	35.032	
327	51.635	52.301	52.1	35.062	34.546	34.927	
328	51.43	52.035	51.806	35.028	34.498	34.847	
329	51.224	51.773	51.518	34.999	34.432	34.774	
330	51.018	51.514	51.237	35.011	34.459	34.767	
331	50.812	51.258	50.962	34.888	34.365	34.712	
332	50.608	51.006	50.695	34.842	34.23	34.555	
333	50.404	50.757	50.433	34.885	34.182	34.577	
334	50.201	50.513	50.178	34.798	34.161	34.525	
335	49.999	50.272	49.929	34.731	34.097	34.447	
336	49.798	50.035	49.686	34.609	34.041	34.358	
337	49.599	49.802	49.448	34.687	34.006	34.353	
338	49.401	49.572	49.216	34.632	33.962	34.303	
339	49.205	49.346	48.989	34.529	33.832	34.23	
340	49.011	49.124	48.767	34.579	33.724	34.179	
341	48.818	48.905	48.551	34.486	33.766	34.165	
342	48.627	48.69	48.339	34.466	33.725	34.1	
343	48.438	48.479	48.131	34.549	33.733	34.023	
344	48.251	48.271	47.929	34.521	33.702	33.95	
345	48.066	48.066	47.73	34.424	33.661	33.933	
346	47.883	47.865	47.536	34.455	33.622	33.892	
347	47.702	47.667	47.346	34.458	33.593	33.865	
348	47.523	47.473	47.16	34.377	33.616	33.812	
349	47.346	47.281	46.977	34.389	33.625	33.81	
350	47.17	47.093	46.798	34.388	33.625	33.767	
351	46.996	46.907	46.622	34.35	33.524	33.743	
352	46.824	46.723	46.45	34.396	33.574	33.8	
353	46.653	46.542	46.279	34.351	33.52	33.614	
354	46.483	46.362	46.111	34.458	33.583	33.722	
355	46.314	46.184	45.944	34.599	33.444	33.575	
356	46.144	46.006	45.778	34.579	33.535	33.58	
357	45.974	45.828	45.613	34.514	33.694	33.653	
358	45.803	45.649	45.446	34.45	33.599	33.561	
359	45.631	45.469	45.279	34.557	33.626	33.604	
360	45.457	45.287	45.11	34.568	33.602	33.533	
361	45.281	45.104	44.939	34.519	33.534	33.614	
362	45.103	44.918	44.766	34.468	33.471	33.318	
363	44.923	44.73	44.591	34.502	33.373	33.27	
364	44.743	44.541	44.414	34.485	33.406	33.141	
365	44.561	44.351	44.236	34.48	33.239	33.257	
366	44.379	44.16	44.057	34.43	33.18	32.916	
367	44.196	43.968	43.877	34.217	33.026	32.627	
368	44.014	43.776	43.696	34.2	33.006	32.484	
369	43.831	43.584	43.516	34.034	32.568	32.257	
370	43.649	43.393	43.335	33.841	32.395	31.955	
371	43.468	43.203	43.156	33.737	32.227	31.762	
372	43.289	43.014	42.978	33.555	32.089	31.437	
373	43.11	42.827	42.802	33.39	31.779	31.262	
374	42.934	42.641	42.627	33.076	31.523	30.992	
375	42.759	42.458	42.455	32.972	31.289	30.557	
376	42.586	42.277	42.284	32.744	31.026	30.281	
377	42.415	42.097	42.116	32.512	30.758	29.935	
