	65	65	70	70	75	75	
300	53.294	41.506	48.965	38.291	46.479	31.314	
310	31.046	117.59	29.566	103.19	29.003	83.53	
320	30.563	166.19	26.255	165.04	19.824	162	
330	30.254	149.77	26.949	133.75	24.273	108.7	
340	32.288	110.97	32.306	89.596	33.868	66.512	
350	44.104	85.506	46.751	66.706	48.45	48.081	
360	81.637	59.185	70.674	45.856	61.853	35.724	
370	43.305	87.384	41.897	71.974	41.424	55.359	
380	34.457	100.77	33.736	85.327	34.094	66.951	
390	30.26	117.27	28.408	102.3	27.648	81.797	
400	27.459	134.21	23.951	121.6	20.831	99.905	
410	25.471	151.32	20.381	143.88	14.133	125.56	
420	24.102	168.35	18.069	169.07	9.5805	169.28	
430	23.317	175.22	17.36	165.13	10.327	137.79	
440	23.09	159.96	18.093	142.23	14.36	106.65	
450	23.35	146.32	19.722	124.05	18.635	89.792	
460	24.001	134.52	21.741	110.33	22.373	79.205	
470	24.946	124.58	23.863	100.07	25.533	71.917	
480	26.112	116.37	25.969	92.381	28.236	66.68	
490	27.454	109.7	28.036	86.594	30.622	62.859	
500	28.948	104.36	30.085	82.255	32.814	60.077	
510	30.594	100.16	32.158	79.041	34.918	58.088	
520	32.401	96.92	34.304	76.714	37.025	56.705	
530	34.391	94.509	36.576	75.094	39.211	55.779	
540	36.592	92.808	39.029	74.035	41.548	55.176	
550	39.034	91.721	41.715	73.415	44.094	54.76	
560	41.751	91.172	44.685	73.122	46.902	54.386	
570	44.771	91.105	47.981	73.049	50.005	53.879	
580	48.122	91.488	51.636	73.085	53.418	53.023	
590	51.817	92.314	55.667	73.102	57.116	51.525	
600	55.855	93.615	60.065	72.937	61.025	48.974	
610	60.213	95.488	64.788	72.345	64.999	44.768	
620	64.836	98.144	69.757	70.888	68.787	38.045	
630	69.633	102.04	74.84	67.613	72.012	27.751	
640	74.458	108.21	79.812	59.876	74.169	13.341	
650	79.049	119.31	84.091	37.99	74.819	3.6289	
660	82.772	142.66	85.386	17.503	73.946	19.475	
670	83.957	174	82.468	54.935	72.003	31.636	
680	81.801	138.68	78.496	67.46	69.523	40.057	
690	78.314	122.07	74.562	72.588	66.878	45.705	
700	74.642	113.68	70.885	75.063	64.272	49.497	
710	71.112	108.74	67.519	76.354	61.807	52.072	
720	67.824	105.49	64.465	77.039	59.524	53.842	
730	64.803	103.19	61.708	77.39	57.434	55.071	
740	62.049	101.47	59.222	77.547	55.531	55.931	
750	59.545	100.14	56.982	77.589	53.802	56.534	
760	57.271	99.094	54.96	77.565	52.233	56.958	
770	55.207	98.25	53.131	77.504	50.806	57.256	
780	53.331	97.566	51.473	77.425	49.506	57.464	
790	51.622	97.008	49.964	77.34	48.318	57.609	
800	50.062	96.553	48.588	77.257	47.229	57.708	
810	48.635	96.184	47.328	77.182	46.229	57.777	
820	47.326	95.887	46.171	77.116	45.306	57.824	
830	46.122	95.652	45.104	77.064	44.451	57.858	
840	45.011	95.47	44.118	77.024	43.658	57.882	
850	43.984	95.335	43.203	76.998	42.919	57.901	
860	43.031	95.241	42.351	76.987	42.228	57.918	
870	42.144	95.184	41.556	76.989	41.58	57.935	
880	41.318	95.159	40.812	77.004	40.971	57.953	
890	40.546	95.162	40.114	77.032	40.397	57.974	
900	39.823	95.192	39.457	77.073	39.854	57.997	
910	39.143	95.245	38.837	77.125	39.34	58.024	
920	38.504	95.318	38.251	77.187	38.851	58.054	
930	37.901	95.411	37.696	77.261	38.385	58.088	
940	37.331	95.52	37.168	77.343	37.941	58.126	
950	36.792	95.645	36.666	77.435	37.516	58.168	
960	36.28	95.784	36.187	77.535	37.108	58.214	
970	35.794	95.936	35.729	77.643	36.718	58.262	
980	35.331	96.1	35.292	77.759	36.342	58.315	
990	34.89	96.274	34.872	77.881	35.98	58.37	
1000	34.469	96.458	34.469	78.009	35.631	58.429	
