	65	65	70	70	75	75	
300	32.547	76.034	33.52	61.182	35.361	45.878	
310	29.693	116.51	28.397	99.573	28.464	77.853	
320	30.117	143.16	26.889	131.34	23.621	111.65	
330	30.148	165.59	25.798	161.56	19.567	153.11	
340	29.96	173.64	25.42	168.91	18.921	159.43	
350	30.102	153.77	26.373	141.39	22.424	120.14	
360	31.257	134.29	29.049	117.07	27.96	93.243	
370	32.653	114.13	32.074	94.813	32.888	72.397	
380	33.909	98.227	34.507	79.01	36.139	58.948	
390	36.768	86.726	38.065	68.574	39.765	50.618	
400	41.765	77.546	43.242	60.359	44.377	43.907	
410	49.182	68.554	50.118	51.508	49.94	36.021	
420	58.694	56.234	57.859	38.233	55.464	24.151	
430	68.085	33.478	63.883	16.561	58.942	7.4376	
440	71.984	6.1337	65.066	10.51	59.059	10.217	
450	68.061	40.201	61.89	31.765	56.711	23.893	
460	61.666	57.431	57.306	44.55	53.536	32.859	
470	55.867	66.401	52.975	52.108	50.465	38.564	
480	51.184	71.833	49.323	56.913	47.792	42.326	
490	47.482	75.567	46.331	60.234	45.538	44.952	
500	44.54	78.389	43.878	62.712	43.644	46.897	
510	42.164	80.672	41.843	64.68	42.037	48.417	
520	40.212	82.612	40.13	66.32	40.656	49.66	
530	38.58	84.319	38.664	67.739	39.452	50.714	
540	37.193	85.858	37.391	69.001	38.387	51.633	
550	35.995	87.271	36.27	70.147	37.434	52.452	
560	34.949	88.585	35.271	71.204	36.571	53.194	
570	34.023	89.819	34.37	72.189	35.782	53.874	
580	33.195	90.986	33.551	73.116	35.054	54.503	
590	32.448	92.096	32.8	73.993	34.377	55.089	
600	31.77	93.157	32.106	74.828	33.745	55.638	
610	31.148	94.174	31.461	75.626	33.149	56.154	
620	30.575	95.152	30.857	76.39	32.587	56.642	
630	30.045	96.095	30.291	77.125	32.053	57.103	
640	29.551	97.006	29.757	77.834	31.545	57.54	
650	29.089	97.887	29.251	78.518	31.059	57.955	
660	28.656	98.741	28.77	79.179	30.594	58.351	
670	28.248	99.569	28.313	79.82	30.148	58.727	
680	27.863	100.37	27.876	80.441	29.719	59.086	
690	27.498	101.16	27.459	81.045	29.305	59.429	
700	27.152	101.92	27.058	81.632	28.906	59.757	
710	26.823	102.66	26.674	82.203	28.52	60.07	
720	26.509	103.39	26.304	82.76	28.146	60.37	
730	26.209	104.1	25.948	83.303	27.784	60.657	
740	25.923	104.79	25.604	83.833	27.433	60.933	
750	25.649	105.46	25.272	84.351	27.092	61.197	
760	25.386	106.13	24.952	84.858	26.761	61.45	
770	25.134	106.77	24.642	85.353	26.439	61.693	
780	24.892	107.41	24.341	85.838	26.126	61.926	
790	24.658	108.03	24.05	86.314	25.821	62.151	
800	24.434	108.64	23.768	86.78	25.524	62.366	
810	24.218	109.23	23.494	87.237	25.234	62.574	
820	24.009	109.82	23.228	87.685	24.952	62.773	
830	23.807	110.39	22.969	88.126	24.676	62.965	
840	23.613	110.96	22.718	88.559	24.407	63.15	
850	23.425	111.51	22.473	88.984	24.144	63.328	
860	23.243	112.06	22.235	89.403	23.888	63.499	
870	23.067	112.59	22.003	89.815	23.637	63.664	
880	22.896	113.12	21.777	90.22	23.391	63.823	
890	22.731	113.64	21.557	90.619	23.151	63.976	
900	22.571	114.15	21.342	91.013	22.917	64.124	
910	22.416	114.65	21.133	91.4	22.687	64.267	
920	22.265	115.14	20.928	91.782	22.462	64.404	
930	22.119	115.63	20.729	92.159	22.242	64.536	
940	21.977	116.11	20.534	92.53	22.026	64.664	
950	21.839	116.58	20.344	92.897	21.815	64.787	
960	21.705	117.04	20.158	93.259	21.608	64.906	
970	21.575	117.5	19.976	93.617	21.405	65.021	
980	21.449	117.95	19.799	93.97	21.206	65.132	
990	21.325	118.39	19.625	94.318	21.011	65.238	
1000	21.205	118.83	19.455	94.663	20.82	65.341	
