	65	65	70	70	75	75	
300	31.897	107.26	31.647	86.994	32.954	64.805	
310	49.633	25.731	49.065	13.737	48.089	6.4469	
320	34.5	76.562	35.031	62.193	36.432	47.029	
330	30.397	109.26	29.55	92.51	30.047	71.939	
340	29.959	134.72	27.187	121.44	24.866	100.74	
350	30.016	157.69	25.865	151.59	20.249	139.31	
360	30.676	179.65	26.272	176.37	19.761	170.1	
370	30.902	155.01	27.369	142.32	23.644	121.08	
380	30.044	133.91	27.848	115.38	27.081	90.195	
390	29.887	117.76	29.07	97.072	30.061	72.959	
400	30.822	105.48	31.116	84.772	32.946	62.794	
410	32.838	96.187	33.913	76.403	36.008	56.412	
420	35.906	89.279	37.478	70.601	39.471	52.124	
430	40.146	84.231	41.987	66.367	43.584	48.8	
440	45.769	80.418	47.66	62.654	48.533	45.26	
450	52.957	77.066	54.577	58.086	54.236	39.964	
460	61.684	72.99	62.397	50.373	60.053	30.846	
470	71.453	65.376	69.893	35.018	64.597	16.008	
480	80.718	41.839	74.371	6.1452	66.287	3.1773	
490	82.74	33.529	73.308	26.712	64.91	20.742	
500	75.933	68.092	68.756	46.713	61.819	32.941	
510	68.853	77.597	63.626	56.819	58.315	40.516	
520	62.846	81.693	58.985	62.262	55.024	45.185	
530	57.921	83.98	55.042	65.493	52.14	48.159	
540	53.904	85.492	51.748	67.592	49.672	50.144	
550	50.609	86.624	48.996	69.069	47.569	51.536	
560	47.88	87.552	46.68	70.186	45.77	52.563	
570	45.593	88.367	44.71	71.087	44.216	53.361	
580	43.652	89.116	43.015	71.852	42.862	54.009	
590	41.985	89.824	41.54	72.53	41.668	54.557	
600	40.538	90.507	40.242	73.15	40.605	55.037	
610	39.268	91.173	39.089	73.729	39.649	55.468	
620	38.143	91.827	38.054	74.281	38.781	55.863	
630	37.137	92.472	37.118	74.812	37.988	56.232	
640	36.232	93.109	36.264	75.326	37.256	56.58	
650	35.41	93.74	35.48	75.828	36.577	56.911	
660	34.66	94.363	34.755	76.319	35.944	57.229	
670	33.971	94.981	34.082	76.8	35.35	57.534	
680	33.336	95.592	33.454	77.273	34.79	57.828	
690	32.746	96.196	32.864	77.738	34.26	58.113	
700	32.196	96.794	32.309	78.196	33.756	58.389	
710	31.683	97.386	31.784	78.647	33.277	58.657	
720	31.201	97.97	31.286	79.092	32.818	58.917	
730	30.747	98.548	30.813	79.53	32.379	59.169	
740	30.318	99.12	30.362	79.962	31.957	59.414	
750	29.913	99.684	29.931	80.387	31.551	59.653	
760	29.528	100.24	29.518	80.807	31.159	59.885	
770	29.162	100.79	29.122	81.222	30.781	60.11	
780	28.813	101.34	28.741	81.63	30.416	60.33	
790	28.48	101.87	28.375	82.033	30.061	60.543	
800	28.162	102.41	28.022	82.431	29.718	60.751	
810	27.858	102.93	27.681	82.824	29.384	60.953	
820	27.565	103.45	27.351	83.212	29.06	61.149	
830	27.285	103.96	27.032	83.595	28.745	61.341	
840	27.015	104.47	26.723	83.972	28.438	61.527	
850	26.756	104.97	26.423	84.346	28.139	61.708	
860	26.506	105.46	26.133	84.714	27.848	61.885	
870	26.265	105.95	25.85	85.079	27.563	62.056	
880	26.032	106.43	25.576	85.438	27.286	62.223	
890	25.807	106.91	25.309	85.794	27.014	62.386	
900	25.59	107.38	25.05	86.146	26.749	62.545	
910	25.379	107.84	24.797	86.493	26.49	62.699	
920	25.176	108.3	24.55	86.837	26.237	62.849	
930	24.979	108.76	24.31	87.176	25.989	62.996	
940	24.787	109.2	24.076	87.512	25.746	63.138	
950	24.602	109.65	23.847	87.845	25.508	63.277	
960	24.422	110.09	23.624	88.174	25.275	63.412	
970	24.247	110.52	23.406	88.499	25.046	63.544	
980	24.077	110.95	23.193	88.821	24.822	63.672	
990	23.912	111.37	22.985	89.14	24.602	63.797	
1000	23.752	111.79	22.781	89.456	24.387	63.919	
