	65	65	70	70	75	75	
300	37.613	239.79	37.888	259.16	38.921	-78.455	
310	38.151	243.94	38.847	262.82	40.149	-75.69	
320	39.39	246.19	40.469	264.32	41.939	-75.023	
330	41.084	246.84	42.556	264.07	44.196	-75.997	
340	43.155	245.88	45.078	262.07	46.977	-78.613	
350	45.564	243.09	48.042	258.02	50.396	-83.268	
360	48.329	237.75	51.523	250.68	54.743	268.32	
370	52.195	229.24	56.802	238.63	62.157	253.97	
380	57.092	219.47	63.761	224.58	72.303	237.17	
390	61.722	208.2	70.022	206.88	81.094	207.04	
400	65.263	194.42	73.912	182.25	82.952	136.55	
410	67.202	178.07	74.358	153.66	77.633	99.618	
420	67.402	161.1	71.995	130.59	71.761	86.653	
430	66.141	146.09	68.42	115.52	66.626	79.867	
440	63.971	134.22	64.664	105.85	62.315	75.475	
450	61.397	125.33	61.141	99.339	58.722	72.326	
460	58.747	118.73	57.978	94.735	55.717	69.941	
470	56.193	113.81	55.184	91.35	53.181	68.077	
480	53.814	110.09	52.726	88.791	51.019	66.593	
490	51.635	107.24	50.56	86.816	49.153	65.396	
500	49.655	105.05	48.645	85.272	47.526	64.424	
510	47.862	103.34	46.943	84.056	46.092	63.63	
520	46.238	102.02	45.419	83.095	44.816	62.981	
530	44.765	100.98	44.048	82.335	43.67	62.449	
540	43.426	100.19	42.806	81.739	42.633	62.016	
550	42.204	99.587	41.674	81.275	41.686	61.665	
560	41.085	99.14	40.638	80.921	40.817	61.382	
570	40.058	98.822	39.684	80.66	40.015	61.158	
580	39.112	98.611	38.802	80.476	39.269	60.983	
590	38.236	98.49	37.982	80.357	38.573	60.851	
600	37.424	98.446	37.217	80.294	37.92	60.755	
610	36.668	98.466	36.501	80.28	37.304	60.69	
620	35.962	98.541	35.828	80.306	36.722	60.652	
630	35.3	98.663	35.193	80.368	36.17	60.637	
640	34.68	98.826	34.593	80.46	35.645	60.642	
650	34.096	99.024	34.023	80.58	35.143	60.664	
660	33.544	99.251	33.482	80.722	34.664	60.702	
670	33.023	99.505	32.966	80.884	34.203	60.752	
680	32.529	99.781	32.473	81.065	33.761	60.813	
690	32.06	100.08	32.002	81.26	33.335	60.883	
700	31.614	100.39	31.549	81.469	32.923	60.962	
710	31.19	100.72	31.115	81.689	32.526	61.048	
720	30.784	101.06	30.697	81.919	32.142	61.139	
730	30.397	101.41	30.295	82.158	31.769	61.236	
740	30.026	101.76	29.907	82.405	31.408	61.336	
750	29.671	102.13	29.533	82.658	31.057	61.441	
760	29.331	102.51	29.17	82.917	30.716	61.547	
770	29.003	102.88	28.82	83.181	30.383	61.657	
780	28.689	103.27	28.48	83.449	30.06	61.768	
790	28.386	103.66	28.151	83.721	29.745	61.88	
800	28.095	104.05	27.832	83.995	29.437	61.993	
810	27.814	104.44	27.521	84.272	29.137	62.107	
820	27.543	104.84	27.22	84.551	28.844	62.222	
830	27.281	105.23	26.926	84.832	28.557	62.336	
840	27.028	105.63	26.641	85.114	28.277	62.45	
850	26.783	106.03	26.363	85.397	28.003	62.564	
860	26.546	106.43	26.092	85.68	27.735	62.678	
870	26.317	106.82	25.828	85.964	27.472	62.79	
880	26.094	107.22	25.571	86.249	27.215	62.902	
890	25.879	107.62	25.32	86.533	26.963	63.013	
900	25.67	108.01	25.074	86.817	26.715	63.123	
910	25.467	108.41	24.835	87.101	26.473	63.231	
920	25.271	108.8	24.601	87.385	26.235	63.339	
930	25.079	109.19	24.372	87.668	26.002	63.445	
940	24.894	109.58	24.148	87.95	25.773	63.549	
950	24.713	109.97	23.93	88.231	25.548	63.653	
960	24.537	110.35	23.716	88.512	25.327	63.754	
970	24.366	110.74	23.506	88.792	25.111	63.855	
980	24.2	111.12	23.301	89.07	24.898	63.954	
990	24.038	111.5	23.1	89.348	24.688	64.051	
1000	23.88	111.87	22.904	89.624	24.482	64.146	
