	65	65	70	70	75	75	
300	44.1	251.54	47.444	266.63	50.953	-76.242	
310	55.491	239.15	64.8	245.02	76.104	261.75	
320	69.897	182.13	74.169	129.06	68.038	78.094	
330	59.693	116.15	55.006	88.253	50.66	64.499	
340	48.043	99.467	45.249	80.101	43.596	60.854	
350	41.84	96.881	40.344	80.324	39.847	62.424	
360	38.554	100.71	37.488	85.612	37.287	68.04	
370	35.963	109.59	34.619	95.885	34.009	78.342	
380	32.842	119.65	30.655	107.26	28.984	89.456	
390	29.989	129.35	26.752	118.46	23.583	100.32	
400	27.678	139	23.382	130.26	18.452	112.54	
410	25.881	148.96	20.64	143.48	13.855	128.81	
420	24.477	159.2	18.533	158.27	10.233	152.92	
430	23.419	169.5	17.141	174.17	8.5446	187.05	
440	22.684	179.63	16.502	190.27	9.3081	220.85	
450	22.249	189.38	16.545	205.45	11.542	243.91	
460	22.08	198.59	17.118	218.93	14.183	258.49	
470	22.137	207.14	18.045	230.4	16.772	268.36	
480	22.382	214.97	19.18	239.97	19.164	-84.457	
490	22.778	222.07	20.418	247.9	21.33	-78.942	
500	23.292	228.45	21.695	254.5	23.283	-74.552	
510	23.9	234.15	22.976	260.01	25.05	-70.972	
520	24.584	239.24	24.242	264.66	26.663	-68.005	
530	25.328	243.76	25.486	268.59	28.149	-65.521	
540	26.126	247.76	26.712	-88.06	29.538	-63.428	
550	26.971	251.31	27.923	-85.202	30.854	-61.658	
560	27.863	254.45	29.128	-82.758	32.118	-60.158	
570	28.802	257.21	30.337	-80.665	33.352	-58.887	
580	29.792	259.65	31.562	-78.873	34.574	-57.809	
590	30.837	261.78	32.813	-77.34	35.8	-56.892	
600	31.943	263.65	34.102	-76.029	37.047	-56.107	
610	33.118	265.28	35.441	-74.906	38.328	-55.427	
620	34.369	266.69	36.844	-73.943	39.658	-54.824	
630	35.704	267.91	38.32	-73.111	41.049	-54.27	
640	37.134	268.96	39.883	-72.382	42.512	-53.734	
650	38.668	269.86	41.545	-71.728	44.056	-53.183	
660	40.316	-89.377	43.315	-71.121	45.69	-52.581	
670	42.088	-88.727	45.203	-70.53	47.418	-51.885	
680	43.993	-88.175	47.219	-69.921	49.241	-51.047	
690	46.042	-87.705	49.368	-69.254	51.156	-50.012	
700	48.241	-87.298	51.652	-68.483	53.155	-48.712	
710	50.598	-86.937	54.071	-67.551	55.219	-47.072	
720	53.116	-86.604	56.618	-66.386	57.325	-45.001	
730	55.797	-86.275	59.279	-64.894	59.435	-42.395	
740	58.639	-85.926	62.031	-62.95	61.501	-39.141	
750	61.634	-85.521	64.841	-60.377	63.463	-35.124	
760	64.769	-85.016	67.657	-56.925	65.247	-30.248	
770	68.028	-84.34	70.408	-52.24	66.773	-24.469	
780	71.385	-83.377	72.994	-45.826	67.96	-17.845	
790	74.81	-81.913	75.267	-37.064	68.741	-10.572	
800	78.264	-79.491	77.03	-25.424	69.08	-2.9846	
810	81.691	-74.934	78.055	-11.077	68.979	4.508	
820	84.97	-64.117	78.187	4.4219	68.481	11.53	
830	87.508	-25.574	77.46	18.714	67.658	17.825	
840	86.739	44.761	76.084	30.303	66.589	23.283	
850	83.941	66.708	74.307	39.062	65.353	27.907	
860	80.94	74.067	72.323	45.532	64.016	31.771	
870	77.997	77.557	70.259	50.324	62.629	34.976	
880	75.172	79.546	68.195	53.919	61.23	37.627	
890	72.485	80.81	66.178	56.662	59.848	39.821	
900	69.945	81.674	64.234	58.791	58.501	41.64	
910	67.554	82.299	62.379	60.469	57.201	43.153	
920	65.31	82.77	60.62	61.811	55.955	44.418	
930	63.207	83.14	58.958	62.9	54.766	45.48	
940	61.24	83.442	57.393	63.794	53.637	46.377	
950	59.402	83.696	55.92	64.538	52.567	47.137	
960	57.684	83.917	54.537	65.164	51.553	47.785	
970	56.078	84.115	53.238	65.697	50.595	48.342	
980	54.578	84.297	52.017	66.156	49.689	48.822	
990	53.174	84.469	50.87	66.556	48.832	49.239	
1000	51.861	84.635	49.791	66.909	48.021	49.604	
