	65	65	70	70	75	75	
300	64.08	138.71	66.46	114.65	66.141	83.815	
310	61.382	119.75	61.665	96.709	59.937	71.427	
320	57.397	109.1	56.905	88.331	55.199	66.219	
330	53.613	103.06	52.953	83.864	51.612	63.452	
340	50.41	99.721	49.814	81.478	48.883	61.984	
350	47.766	98.201	47.308	80.515	46.75	61.488	
360	45.428	98.28	45.121	80.917	44.897	62.047	
370	42.844	98.864	42.645	81.711	42.746	62.872	
380	40.476	98.834	40.33	81.719	40.698	62.855	
390	38.556	98.659	38.451	81.458	39.037	62.503	
400	37.024	98.615	36.953	81.271	37.713	62.182	
410	35.754	98.86	35.701	81.346	36.599	62.074	
420	34.627	99.326	34.576	81.617	35.587	62.122	
430	33.605	99.91	33.542	81.988	34.649	62.241	
440	32.673	100.56	32.588	82.413	33.774	62.393	
450	31.82	101.25	31.706	82.87	32.957	62.563	
460	31.039	101.96	30.887	83.346	32.193	62.743	
470	30.321	102.69	30.125	83.835	31.477	62.928	
480	29.661	103.43	29.416	84.336	30.803	63.119	
490	29.05	104.18	28.753	84.846	30.168	63.314	
500	28.484	104.93	28.13	85.363	29.566	63.514	
510	27.958	105.68	27.544	85.888	28.995	63.717	
520	27.467	106.44	26.99	86.418	28.45	63.923	
530	27.007	107.19	26.465	86.951	27.929	64.129	
540	26.575	107.95	25.965	87.486	27.43	64.334	
550	26.168	108.69	25.489	88.021	26.95	64.537	
560	25.783	109.44	25.034	88.554	26.488	64.737	
570	25.419	110.17	24.598	89.085	26.043	64.933	
580	25.073	110.9	24.181	89.612	25.614	65.123	
590	24.746	111.61	23.781	90.135	25.199	65.309	
600	24.434	112.32	23.397	90.653	24.798	65.488	
610	24.137	113.02	23.027	91.167	24.411	65.662	
620	23.854	113.71	22.671	91.674	24.036	65.829	
630	23.584	114.39	22.329	92.176	23.672	65.991	
640	23.326	115.06	21.998	92.673	23.32	66.146	
650	23.08	115.71	21.68	93.163	22.978	66.295	
660	22.843	116.36	21.372	93.648	22.647	66.438	
670	22.617	117	21.075	94.127	22.325	66.575	
680	22.4	117.62	20.787	94.6	22.012	66.706	
690	22.192	118.24	20.509	95.068	21.709	66.832	
700	21.992	118.85	20.24	95.53	21.413	66.952	
710	21.8	119.44	19.98	95.986	21.126	67.066	
720	21.616	120.03	19.727	96.437	20.847	67.175	
730	21.438	120.61	19.483	96.883	20.575	67.279	
740	21.267	121.17	19.245	97.323	20.31	67.378	
750	21.102	121.73	19.015	97.758	20.052	67.472	
760	20.944	122.28	18.791	98.188	19.801	67.562	
770	20.791	122.82	18.574	98.613	19.556	67.646	
780	20.643	123.35	18.363	99.033	19.317	67.727	
790	20.5	123.87	18.158	99.448	19.084	67.803	
800	20.363	124.39	17.959	99.859	18.857	67.874	
810	20.23	124.89	17.766	100.26	18.635	67.942	
820	20.101	125.39	17.577	100.67	18.419	68.006	
830	19.977	125.88	17.394	101.06	18.207	68.066	
840	19.857	126.36	17.215	101.46	18.001	68.122	
850	19.741	126.84	17.041	101.84	17.799	68.175	
860	19.628	127.3	16.872	102.23	17.602	68.224	
870	19.519	127.76	16.707	102.61	17.41	68.27	
880	19.413	128.22	16.546	102.99	17.221	68.312	
890	19.311	128.66	16.389	103.36	17.037	68.352	
900	19.212	129.1	16.237	103.73	16.857	68.388	
910	19.115	129.53	16.087	104.09	16.681	68.422	
920	19.022	129.96	15.942	104.45	16.509	68.453	
930	18.932	130.37	15.8	104.81	16.34	68.481	
940	18.844	130.79	15.661	105.17	16.175	68.506	
950	18.758	131.19	15.526	105.52	16.014	68.529	
960	18.675	131.59	15.394	105.87	15.855	68.549	
970	18.595	131.99	15.265	106.21	15.7	68.567	
980	18.517	132.37	15.139	106.55	15.548	68.583	
990	18.441	132.76	15.016	106.89	15.4	68.596	
1000	18.367	133.13	14.896	107.23	15.254	68.607	
