wavelength,psi60,psi65,psi70,thickness,delta60,delta65,delta70
400.0,25.779,20.299,12.97,3.8,169.66,164.31,151.32
410.0,24.777,19.111,11.492,3.8,169.52,164.74,150.8
420.0,23.943,18.07,10.216,3.8,170.13,165.5,149.86
430.0,23.264,17.181,9.2646,3.8,170.41,165.51,150.02
440.0,22.605,16.464,8.424,3.8,171.89,165.78,148.69
450.0,22.102,15.832,7.7182,3.8,171.12,166.03,147.48
460.0,21.592,15.251,7.0593,3.8,172.19,166.47,146.46
470.0,21.189,14.713,6.5842,3.8,172.01,166.26,145.05
480.0,20.806,14.27,6.0583,3.8,171.89,166.54,143.04
490.0,20.449,13.885,5.6319,3.8,171.91,166.7,141.99
500.0,20.164,13.512,5.2354,3.8,172.34,166.94,140.61
510.0,19.861,13.187,4.8764,3.8,172.35,167.13,139.54
520.0,19.602,12.86,4.5647,3.8,172.48,167.41,137.36
530.0,19.356,12.563,4.2925,3.8,172.86,167.19,135.93
540.0,19.138,12.314,3.9921,3.8,173.02,167.43,134.31
550.0,18.929,12.067,3.7669,3.8,172.9,167.4,132.31
560.0,18.754,11.851,3.5628,3.8,173.39,167.6,130.3
570.0,18.54,11.628,3.3358,3.8,173.28,167.68,128.86
580.0,18.38,11.43,3.1662,3.8,173.15,167.93,126.4
590.0,18.224,11.265,3.0042,3.8,173.47,168.01,124.92
600.0,18.1,11.077,2.8726,3.8,173.49,167.9,121.83
610.0,17.952,10.895,2.7284,3.8,173.61,168.13,119.74
620.0,17.834,10.763,2.6006,3.8,173.55,167.79,117.41
630.0,17.676,10.613,2.5438,3.8,173.14,167.86,114.25
640.0,17.584,10.492,2.4054,3.8,173.67,169.29,112.26
650.0,17.474,10.376,2.3138,3.8,174.37,168.88,109.84
660.0,17.39,10.26,2.1987,3.8,174.09,168.37,107.6
670.0,17.292,10.156,2.1638,3.8,174.09,169.57,104.54
680.0,17.195,10.02,2.0894,3.8,174.43,169.02,101.92
690.0,17.093,9.9309,2.0439,3.8,174.71,168.92,99.275
700.0,17.0,9.8248,1.9067,3.8,175.2,168.92,97.708
710.0,16.924,9.7248,1.9541,3.8,174.48,168.91,93.6
720.0,16.805,9.6545,1.9069,3.8,174.86,168.69,91.458
730.0,16.774,9.533,1.8317,3.8,174.59,168.72,88.815
740.0,16.687,9.4883,1.7268,3.8,174.77,170.23,86.161
750.0,16.638,9.405,1.7653,3.8,174.63,169.66,83.386
760.0,16.576,9.3207,1.7237,3.8,175.16,169.54,80.668
770.0,16.5,9.2568,1.8049,3.8,175.57,169.67,78.945
780.0,16.447,9.1804,1.7541,3.8,175.18,169.64,76.996
790.0,16.398,9.1125,1.6899,3.8,175.11,169.51,72.46
800.0,16.351,9.0386,1.7492,3.8,174.86,170.63,72.018
810.0,16.302,8.9875,1.7464,3.8,175.8,169.73,70.168
820.0,16.225,8.9264,1.7087,3.8,174.99,170.74,66.976
830.0,16.189,8.8794,1.7165,3.8,175.32,170.51,65.394
840.0,16.124,8.8328,1.7419,3.8,175.15,170.06,63.57
850.0,16.118,8.753,1.7122,3.8,176.92,169.85,62.442
860.0,16.007,8.6976,1.7124,3.8,175.56,171.35,59.877
870.0,16.001,8.6749,1.7617,3.8,175.04,170.96,59.664
880.0,15.958,8.6196,1.7417,3.8,175.59,171.17,56.335
890.0,15.924,8.5813,1.7512,3.8,175.52,170.96,55.256
900.0,15.891,8.5391,1.7613,3.8,176.14,171.29,53.168
910.0,15.847,8.4955,1.8014,3.8,176.15,171.13,52.451
920.0,15.823,8.4577,1.7811,3.8,175.71,170.97,50.371
930.0,15.781,8.4021,1.791,3.8,175.06,170.81,49.519
940.0,15.749,8.373,1.8388,3.8,175.56,171.05,48.738
950.0,15.716,8.356,1.8008,3.8,175.27,170.74,45.365
960.0,15.686,8.3361,1.7996,3.8,176.94,171.23,45.059
970.0,15.651,8.2776,1.8498,3.8,175.19,171.1,45.18
980.0,15.623,8.2359,1.866,3.8,176.0,171.78,43.225
990.0,15.601,8.1986,1.8461,3.8,176.26,171.38,41.058
1000.0,15.579,8.1731,1.9286,3.8,176.43,171.29,42.596
