wavelength,psi60,psi65,psi70,thickness,delta60,delta65,delta70
400.0,25.88,20.725,14.056,6.5,163.72,155.89,138.08
410.0,24.873,19.471,12.713,6.5,164.43,156.84,136.93
420.0,24.043,18.457,11.566,6.5,164.8,156.98,135.99
430.0,23.334,17.557,10.676,6.5,165.6,157.63,135.12
440.0,22.655,16.83,9.6484,6.5,165.72,157.45,133.55
450.0,22.187,16.181,9.049,6.5,165.98,157.66,131.49
460.0,21.705,15.601,8.4032,6.5,166.29,158.09,131.17
470.0,21.314,15.118,7.9109,6.5,166.31,158.23,128.9
480.0,20.888,14.668,7.3904,6.5,166.89,158.7,127.83
490.0,20.527,14.199,6.9754,6.5,167.3,158.47,125.55
500.0,20.261,13.842,6.6108,6.5,167.3,158.9,124.55
510.0,19.955,13.513,6.2158,6.5,167.42,158.9,122.96
520.0,19.702,13.181,5.9435,6.5,167.57,159.09,121.65
530.0,19.442,12.862,5.6393,6.5,168.11,159.19,120.18
540.0,19.201,12.605,5.3962,6.5,168.3,159.42,118.27
550.0,19.017,12.342,5.1681,6.5,168.49,159.79,116.43
560.0,18.813,12.121,4.9559,6.5,168.4,159.79,114.81
570.0,18.629,11.906,4.7484,6.5,168.87,160.15,113.22
580.0,18.467,11.715,4.595,6.5,169.05,160.19,111.69
590.0,18.294,11.526,4.4316,6.5,168.89,160.35,109.77
600.0,18.159,11.35,4.2449,6.5,169.27,160.43,108.25
610.0,18.012,11.182,4.1401,6.5,169.51,160.56,106.61
620.0,17.873,11.023,3.9855,6.5,169.55,160.58,104.29
630.0,17.751,10.887,3.9051,6.5,169.78,161.23,102.47
640.0,17.627,10.728,3.753,6.5,169.58,161.63,101.26
650.0,17.532,10.613,3.6474,6.5,170.21,161.23,99.926
660.0,17.43,10.485,3.5553,6.5,170.1,161.14,98.514
670.0,17.326,10.376,3.497,6.5,170.02,161.57,96.384
680.0,17.225,10.225,3.3892,6.5,170.4,161.62,95.042
690.0,17.142,10.14,3.3404,6.5,170.29,161.76,93.504
700.0,17.055,10.035,3.2793,6.5,170.75,161.68,91.849
710.0,16.947,9.9397,3.2241,6.5,170.67,161.76,90.023
720.0,16.895,9.8092,3.1756,6.5,171.03,161.98,88.332
730.0,16.817,9.75,3.0942,6.5,171.0,162.57,86.931
740.0,16.754,9.6523,3.1147,6.5,171.41,162.86,85.64
750.0,16.667,9.5819,2.9804,6.5,171.32,162.63,84.184
760.0,16.586,9.5081,2.9303,6.5,171.31,162.68,82.528
770.0,16.534,9.4016,2.9057,6.5,171.77,163.04,81.235
780.0,16.484,9.3321,2.8794,6.5,172.5,163.33,80.109
790.0,16.402,9.2681,2.7661,6.5,171.87,163.57,77.653
800.0,16.358,9.1846,2.8294,6.5,171.67,162.78,76.705
810.0,16.308,9.1527,2.7922,6.5,171.76,163.01,75.719
820.0,16.253,9.0825,2.7654,6.5,172.47,163.87,74.106
830.0,16.206,9.014,2.7415,6.5,172.15,163.96,73.001
840.0,16.153,8.9689,2.7136,6.5,172.13,163.72,71.689
850.0,16.143,8.9163,2.7084,6.5,172.61,163.99,71.441
860.0,16.07,8.845,2.7201,6.5,172.34,164.42,69.377
870.0,16.012,8.7727,2.6753,6.5,172.73,164.23,67.573
880.0,15.975,8.7493,2.6574,6.5,172.64,164.64,66.909
890.0,15.939,8.7114,2.6334,6.5,172.96,164.77,65.801
900.0,15.913,8.6708,2.6418,6.5,172.98,164.78,64.578
910.0,15.858,8.6318,2.6368,6.5,172.79,164.74,63.971
920.0,15.818,8.5764,2.6069,6.5,173.04,165.29,62.463
930.0,15.792,8.5103,2.5885,6.5,173.26,165.0,61.229
940.0,15.767,8.4837,2.548,6.5,172.82,165.85,59.461
950.0,15.736,8.4657,2.5707,6.5,172.99,165.29,59.76
960.0,15.7,8.3888,2.5771,6.5,173.02,165.76,59.399
970.0,15.661,8.3887,2.5549,6.5,173.51,165.69,57.154
980.0,15.634,8.334,2.586,6.5,173.15,165.79,56.48
990.0,15.596,8.2921,2.5696,6.5,173.59,165.76,55.394
1000.0,15.572,8.2713,2.6307,6.5,172.97,165.87,55.542
