	65	70	75	
400	171.72	167.23	155.34	
410	171.97	168.39	155.78	
420	172.41	168.16	155.31	
430	172.31	167.83	154.16	
440	172.68	168.35	154.47	
450	172.22	169.01	153.95	
460	173.22	169.42	152.71	
470	174.13	169.2	150.81	
480	174.49	169.23	149.22	
490	174.74	169.09	147.74	
500	174.16	169.87	147.47	
510	174.4	169.45	146.21	
520	174.17	170.17	144.93	
530	174.61	170.61	142.45	
540	174.53	170.15	141.79	
550	174.43	170.74	139.25	
560	175.09	169.95	137.55	
570	175	170.94	136.36	
580	175.41	171.08	133.55	
590	175.72	171.48	130.9	
600	175.17	170.89	130.24	
610	175.31	170.94	126.58	
620	175.39	171.11	124.32	
630	174.86	171.12	121.9	
640	175.56	171.25	118.29	
650	176.11	170.86	115.61	
660	175.91	171.47	112.4	
670	175.96	171.82	110.01	
680	175.93	171.82	106.36	
690	176.13	170.91	102.3	
700	176.36	171.72	98.734	
710	176.26	171.65	95.892	
720	175.92	171.87	91.777	
730	176.04	172.15	89.006	
740	176.72	172.66	85.292	
750	176.25	171.74	82.416	
760	176.93	173.3	79.238	
770	175.75	173.02	76.36	
780	176.76	170.52	71.514	
790	177.58	172.18	71.395	
800	178.11	171.74	66.483	
810	176.28	172.33	65.6	
820	176.5	173.02	61.814	
830	177.31	172.67	60.393	
840	178.92	172.65	58.487	
850	177.01	171.62	55.195	
860	175.72	172.62	54.85	
870	177.38	174.73	53.231	
880	177.2	173.52	49.253	
890	177.26	173.34	47.808	
900	176.94	173.53	45.463	
910	178.24	173.34	45.783	
920	177.42	173.56	43.124	
930	177.78	172.17	43.363	
940	178.07	173.14	39.825	
950	177.39	174.18	41.97	
960	180	173.15	40.021	
970	178.68	174.34	35.893	
980	177.14	173.43	34.953	
990	176.94	174.19	35.329	
1000	178.74	173.22	29.56	
