	65	70	75	
400	157.78	147.65	125.94	
410	158.8	148.11	125.1	
420	158.99	148.74	123.84	
430	159.69	149.21	122.6	
440	160.45	148.9	121.22	
450	160.81	149.63	120.04	
460	160.8	149.4	118.78	
470	161.09	150.05	117.13	
480	161.61	150.38	116.34	
490	161.74	150.54	114.78	
500	162.03	150.47	113.19	
510	162.43	150.69	112.06	
520	162.63	150.78	110.5	
530	162.92	151.07	109.28	
540	163.15	151.27	107.89	
550	163.49	151.63	106.77	
560	163.67	151.57	105.42	
570	163.87	151.78	103.9	
580	164.19	151.93	102.7	
590	164.38	152.54	101.62	
600	164.57	152.56	100.19	
610	164.61	152.73	99.139	
620	165.04	152.85	97.913	
630	165.39	152.6	96.669	
640	165.61	153.49	95.907	
650	165.49	153.68	94.349	
660	165.67	153.64	93.278	
670	166.03	154.07	92.101	
680	166.18	154.37	91.088	
690	166.43	154.42	90.061	
700	166.64	154.85	89.081	
710	166.74	154.4	87.912	
720	167	155.53	86.857	
730	167.13	155.1	86.216	
740	167.07	155.45	85.252	
750	167.39	155.63	83.935	
760	167.39	155.77	82.737	
770	167.82	155.81	82.165	
780	167.99	156.32	80.65	
790	168.37	156.1	79.893	
800	168.27	157.18	78.959	
810	168.56	156.38	78.047	
820	168.45	157	77.079	
830	168.43	157.14	76.246	
840	168.54	157.04	75.524	
850	168.79	158.19	74.254	
860	169.04	158.03	73.264	
870	168.62	157.99	72.987	
880	169.28	157.88	71.851	
890	169.36	158.21	71.016	
900	169.4	158.45	70.216	
910	169.61	158.25	69.528	
920	169.52	158.71	68.681	
930	169.65	159.22	68.043	
940	170.15	159.09	67.068	
950	170.02	158.77	66.277	
960	170.27	159.08	65.552	
970	170.24	159.69	65.322	
980	170.19	159.32	64.215	
990	170.23	159.89	63.292	
1000	170.56	160.18	62.616	
