	65	70	75	
400	26.718	22.441	18.081	
410	25.69	21.155	16.602	
420	24.854	20.096	15.505	
430	24.142	19.229	14.53	
440	23.577	18.452	13.723	
450	22.954	17.814	13.008	
460	22.474	17.204	12.44	
470	22.033	16.651	11.795	
480	21.619	16.173	11.368	
490	21.251	15.733	10.823	
500	20.938	15.335	10.463	
510	20.617	14.956	10.094	
520	20.342	14.612	9.7481	
530	20.078	14.265	9.4235	
540	19.831	13.967	9.1446	
550	19.6	13.698	8.86	
560	19.387	13.412	8.6154	
570	19.188	13.164	8.3841	
580	18.984	12.927	8.1732	
590	18.835	12.715	7.961	
600	18.657	12.538	7.7631	
610	18.514	12.333	7.5951	
620	18.38	12.144	7.4192	
630	18.236	12.001	7.2486	
640	18.109	11.812	7.1007	
650	17.981	11.67	6.9527	
660	17.873	11.505	6.8176	
670	17.763	11.374	6.6982	
680	17.652	11.246	6.5701	
690	17.559	11.107	6.4455	
700	17.45	10.991	6.3416	
710	17.349	10.856	6.2401	
720	17.263	10.773	6.13	
730	17.187	10.644	6.0279	
740	17.118	10.554	5.9547	
750	17.037	10.455	5.846	
760	16.959	10.356	5.7373	
770	16.907	10.255	5.6669	
780	16.844	10.197	5.601	
790	16.763	10.086	5.5289	
800	16.7	10.035	5.4526	
810	16.629	9.9143	5.3939	
820	16.569	9.834	5.2987	
830	16.53	9.7751	5.2604	
840	16.473	9.7034	5.1911	
850	16.41	9.6485	5.1256	
860	16.358	9.5642	5.1087	
870	16.324	9.4931	4.9944	
880	16.281	9.4481	4.9649	
890	16.236	9.3811	4.9085	
900	16.193	9.3306	4.8696	
910	16.156	9.2656	4.8175	
920	16.114	9.2143	4.7685	
930	16.073	9.1608	4.7368	
940	16.029	9.1118	4.6991	
950	16.001	9.0588	4.67	
960	15.973	9.0107	4.5971	
970	15.94	8.9503	4.5655	
980	15.897	8.9135	4.5339	
990	15.855	8.8709	4.4999	
1000	15.822	8.8461	4.4487	
