	65	70	75	
400	25.904	20.589	13.54	
410	24.87	19.297	12.077	
420	24.027	18.276	10.932	
430	23.332	17.447	9.8996	
440	22.75	16.701	9.1065	
450	22.207	16.044	8.4273	
460	21.695	15.44	7.8095	
470	21.32	14.916	7.2408	
480	20.906	14.453	6.7649	
490	20.547	14.053	6.2933	
500	20.249	13.695	5.9493	
510	19.948	13.371	5.6071	
520	19.682	13.045	5.3031	
530	19.417	12.755	4.9906	
540	19.193	12.494	4.7408	
550	18.988	12.228	4.518	
560	18.783	11.988	4.3179	
570	18.613	11.781	4.1091	
580	18.461	11.584	3.9232	
590	18.305	11.413	3.7423	
600	18.137	11.211	3.6155	
610	17.999	11.049	3.4726	
620	17.891	10.896	3.3811	
630	17.752	10.718	3.2831	
640	17.643	10.621	3.1182	
650	17.537	10.492	3.0587	
660	17.427	10.359	2.9934	
670	17.311	10.247	2.8928	
680	17.226	10.139	2.8192	
690	17.121	10.022	2.7422	
700	17.059	9.935	2.6948	
710	16.972	9.8128	2.6555	
720	16.868	9.7273	2.5648	
730	16.812	9.6397	2.5625	
740	16.749	9.5775	2.484	
750	16.667	9.5016	2.4975	
760	16.616	9.4341	2.4001	
770	16.544	9.3182	2.371	
780	16.489	9.2797	2.4428	
790	16.443	9.1998	2.3006	
800	16.389	9.1272	2.3585	
810	16.328	9.0783	2.3659	
820	16.267	9.006	2.2959	
830	16.224	8.9556	2.279	
840	16.175	8.9058	2.2962	
850	16.119	8.8274	2.2085	
860	16.093	8.8028	2.2694	
870	16.046	8.7501	2.2567	
880	16.002	8.6949	2.2404	
890	15.963	8.6594	2.2369	
900	15.927	8.6026	2.2064	
910	15.882	8.5586	2.2249	
920	15.849	8.5167	2.2177	
930	15.815	8.478	2.2487	
940	15.764	8.4352	2.2585	
950	15.759	8.3911	2.2718	
960	15.723	8.3566	2.222	
970	15.687	8.3221	2.2592	
980	15.656	8.288	2.2538	
990	15.626	8.2505	2.2231	
1000	15.612	8.2213	2.2659	
