a1,a2,a3,a4,a5,a6,intercept,T,A,B,C
-3.5128737474411744e-12,-8.781032718067865e-10,-3.020354789799476e-07,4.915785569377339e-10,-2.8471107581571077e-13,5.698454698155032e-17,60.19219927443221,101,1.305,0.0095,0.0001
-3.55312579354011e-12,-8.881649610688171e-10,-3.0549633053171885e-07,4.992574724125385e-10,-2.903453001831041e-13,5.834773044274135e-17,60.224007069147376,101,1.305,0.009,0.0001
-3.5322296032133773e-12,-8.829415996563639e-10,-3.036996858217438e-07,4.954731485609905e-10,-2.8765746236199146e-13,5.771161709798308e-17,60.16447209205492,101,1.305,0.009,0.000130
-3.5112316803586633e-12,-8.77692808449115e-10,-3.018942941922244e-07,4.916730215072489e-10,-2.8495977103344627e-13,5.70734230991396e-17,60.104291597863906,101,1.305,0.009,0.000160
-3.4901314005821746e-12,-8.724184313696231e-10,-3.0008010195868266e-07,4.878565967758353e-10,-2.8225160471588577e-13,5.643294059325207e-17,60.043465501067594,101,1.305,0.009,0.000190
-3.468901831437557e-12,-8.671117361913223e-10,-2.982547934827189e-07,4.840184997861274e-10,-2.7952896980268314e-13,5.578920873289474e-17,59.98200111967739,101,1.305,0.009,0.000220
-3.4475921623620344e-12,-8.617850186569302e-10,-2.9642259804756657e-07,4.80168682464264e-10,-2.7679943462268306e-13,5.514409468685338e-17,59.91991217725052,101,1.305,0.009,0.000250
-3.4261828979173494e-12,-8.564334055490523e-10,-2.945818394469824e-07,4.76302074438622e-10,-2.7405854146034035e-13,5.449638533821411e-17,59.857288743285416,101,1.305,0.009,0.000280
-3.4046791171851335e-12,-8.510581664699881e-10,-2.927329543764077e-07,4.724206181749217e-10,-2.713082462678259e-13,5.3846653848016646e-17,59.79406151044167,101,1.305,0.009,0.000310
-3.3830798876538864e-12,-8.456590683221799e-10,-2.908758626585669e-07,4.685243769625421e-10,-2.685487604096747e-13,5.31949840187851e-17,59.730231526284555,101,1.305,0.009,0.000340
-3.361356715374624e-12,-8.402289885553754e-10,-2.890081143986389e-07,4.6460716437850844e-10,-2.657751537603516e-13,5.2540121315202154e-17,59.66577076199002,101,1.305,0.009,0.000370
