	65	70	75	65	70	75	
300	49.356	46.768	44.987	37.511	37.209	37.514	
301	48.56	46.087	44.468	37.295	36.907	37.453	
302	47.798	45.444	43.978	37.087	36.772	37.279	
303	47.069	44.835	43.511	37.019	36.553	37.024	
304	46.374	44.259	43.067	36.99	36.489	37.052	
305	45.713	43.712	42.643	36.884	36.423	36.867	
306	45.083	43.192	42.237	36.614	36.185	36.77	
307	44.484	42.697	41.845	36.511	36.277	36.641	
308	43.914	42.224	41.468	36.334	36.128	36.541	
309	43.372	41.772	41.103	36.365	35.959	36.377	
310	42.856	41.339	40.749	36.171	35.873	36.379	
311	42.365	40.924	40.404	36.159	35.715	36.319	
312	41.898	40.524	40.068	36.209	35.719	36.207	
313	41.451	40.139	39.74	35.89	35.526	36.139	
314	41.026	39.767	39.417	35.955	35.547	35.953	
315	40.619	39.408	39.101	35.892	35.364	35.909	
316	40.23	39.059	38.789	35.798	35.418	35.815	
317	39.857	38.721	38.481	35.661	35.298	35.754	
318	39.5	38.392	38.176	35.561	35.153	35.59	
319	39.158	38.071	37.875	35.518	35.053	35.611	
320	38.829	37.758	37.575	35.535	35.035	35.459	
321	38.512	37.453	37.277	35.427	34.977	35.375	
322	38.208	37.153	36.98	35.393	34.901	35.332	
323	37.914	36.86	36.683	35.355	34.78	35.278	
324	37.631	36.572	36.388	35.23	34.786	35.152	
325	37.358	36.29	36.092	35.241	34.578	35.091	
326	37.094	36.012	35.795	35.155	34.568	35.032	
327	36.839	35.739	35.499	35.062	34.546	34.927	
328	36.592	35.469	35.201	35.028	34.498	34.847	
329	36.353	35.204	34.902	34.999	34.432	34.774	
330	36.122	34.943	34.603	35.011	34.459	34.767	
331	35.898	34.685	34.302	34.888	34.365	34.712	
332	35.681	34.43	33.999	34.842	34.23	34.555	
333	35.471	34.179	33.695	34.885	34.182	34.577	
334	35.267	33.932	33.39	34.798	34.161	34.525	
335	35.07	33.687	33.083	34.731	34.097	34.447	
336	34.879	33.446	32.774	34.609	34.041	34.358	
337	34.694	33.209	32.464	34.687	34.006	34.353	
338	34.516	32.974	32.153	34.632	33.962	34.303	
339	34.343	32.744	31.84	34.529	33.832	34.23	
340	34.177	32.517	31.526	34.579	33.724	34.179	
341	34.017	32.294	31.211	34.486	33.766	34.165	
342	33.863	32.075	30.895	34.466	33.725	34.1	
343	33.714	31.86	30.579	34.549	33.733	34.023	
344	33.573	31.65	30.262	34.521	33.702	33.95	
345	33.437	31.444	29.944	34.424	33.661	33.933	
346	33.308	31.243	29.628	34.455	33.622	33.892	
347	33.185	31.048	29.312	34.458	33.593	33.865	
348	33.07	30.858	28.997	34.377	33.616	33.812	
349	32.961	30.675	28.684	34.389	33.625	33.81	
350	32.861	30.5	28.373	34.388	33.625	33.767	
351	32.769	30.332	28.066	34.35	33.524	33.743	
352	32.685	30.172	27.764	34.396	33.574	33.8	
353	32.611	30.022	27.466	34.351	33.52	33.614	
354	32.546	29.882	27.173	34.458	33.583	33.722	
355	32.491	29.751	26.887	34.599	33.444	33.575	
356	32.446	29.631	26.605	34.579	33.535	33.58	
357	32.409	29.519	26.326	34.514	33.694	33.653	
358	32.38	29.413	26.049	34.45	33.599	33.561	
359	32.355	29.312	25.769	34.557	33.626	33.604	
360	32.33	29.21	25.483	34.568	33.602	33.533	
361	32.303	29.103	25.183	34.519	33.534	33.614	
362	32.268	28.985	24.866	34.468	33.471	33.318	
363	32.22	28.852	24.527	34.502	33.373	33.27	
364	32.157	28.7	24.161	34.485	33.406	33.141	
365	32.074	28.525	23.768	34.48	33.239	33.257	
366	31.971	28.326	23.346	34.43	33.18	32.916	
367	31.846	28.102	22.898	34.217	33.026	32.627	
368	31.7	27.854	22.425	34.2	33.006	32.484	
369	31.532	27.582	21.931	34.034	32.568	32.257	
370	31.344	27.29	21.42	33.841	32.395	31.955	
371	31.142	26.982	20.903	33.737	32.227	31.762	
372	30.927	26.665	20.385	33.555	32.089	31.437	
373	30.703	26.341	19.873	33.39	31.779	31.262	
374	30.474	26.013	19.372	33.076	31.523	30.992	
375	30.24	25.686	18.887	32.972	31.289	30.557	
376	30.005	25.362	18.421	32.744	31.026	30.281	
377	29.769	25.043	17.979	32.512	30.758	29.935	
378	29.536	24.73	17.563	32.361	30.452	29.755	
379	29.305	24.428	17.176	32.152	30.302	29.525	
380	29.079	24.135	16.819	31.847	30.094	29.22	
381	28.858	23.853	16.493	31.78	29.805	28.874	
382	28.641	23.582	16.198	31.618	29.702	28.718	
383	28.43	23.323	15.934	31.407	29.37	28.494	
384	28.224	23.075	15.702	31.178	29.194	28.195	
385	28.026	22.841	15.502	31.074	29.021	28.069	
386	27.834	22.619	15.333	30.864	28.789	27.848	
387	27.648	22.41	15.194	30.652	28.633	27.637	
388	27.469	22.214	15.085	30.583	28.41	27.476	
389	27.297	22.03	15.003	30.461	28.307	27.256	
390	27.131	21.858	14.949	30.26	28.108	27.05	
391	26.974	21.701	14.921	30.191	27.915	26.895	
