	65	65	70	70	75	75	
300	32.861	131.27	31.096	112.99	30.542	89.043	
310	37.484	89.672	38.982	70.371	40.811	51.467	
320	70.427	11.144	62.906	19.036	56.823	18.474	
330	39.462	80.626	38.945	66.263	39.308	50.728	
340	33.036	102.23	32.478	86.463	33.038	67.635	
350	31.335	123.9	29.323	109.94	28.059	90.022	
360	31.115	146.5	27.624	138.22	23.325	123.26	
370	30.647	171.95	26.219	173.37	19.571	175.65	
380	29.048	165.21	24.699	154.04	19.583	133.1	
390	28.028	146.68	24.737	128.85	22.657	101.41	
400	27.931	131.67	26.001	110.59	26.104	83.417	
410	28.62	119.53	27.92	97.566	29.266	72.413	
420	29.868	109.91	30.132	88.301	32.105	65.25	
430	31.572	102.56	32.541	81.825	34.773	60.541	
440	33.717	97.172	35.198	77.438	37.469	57.51	
450	36.343	93.441	38.213	74.611	40.389	55.621	
460	39.523	91.089	41.721	72.92	43.711	54.422	
470	43.345	89.883	45.858	71.993	47.585	53.452	
480	47.893	89.654	50.743	71.463	52.104	52.149	
490	53.224	90.311	56.439	70.905	57.246	49.727	
500	59.328	91.905	62.905	69.706	62.782	44.961	
510	66.092	94.78	69.937	66.657	68.145	35.87	
520	73.254	100.13	77.071	58.314	72.287	19.944	
530	80.309	112.77	83.036	30.418	73.87	2.2954	
540	85.393	160.78	83.323	32.993	72.525	23.235	
550	82.768	130.82	78.394	61.54	69.416	37.287	
560	77.187	112.53	72.979	70.362	65.78	45.549	
570	71.835	105.8	68.049	73.9	62.244	50.357	
580	67.069	102.29	63.74	75.532	59.037	53.222	
590	62.911	100.12	60.022	76.331	56.211	54.977	
600	59.31	98.66	56.824	76.725	53.746	56.077	
610	56.194	97.62	54.068	76.914	51.6	56.782	
620	53.49	96.866	51.681	77.001	49.727	57.242	
630	51.135	96.316	49.601	77.04	48.083	57.55	
640	49.071	95.922	47.776	77.063	46.632	57.764	
650	47.251	95.648	46.163	77.085	45.34	57.918	
660	45.638	95.472	44.728	77.118	44.184	58.037	
670	44.198	95.377	43.441	77.166	43.141	58.135	
680	42.906	95.348	42.28	77.232	42.193	58.221	
690	41.739	95.375	41.226	77.316	41.328	58.303	
700	40.68	95.449	40.264	77.417	40.532	58.383	
710	39.714	95.565	39.38	77.536	39.797	58.465	
720	38.829	95.714	38.565	77.671	39.113	58.549	
730	38.013	95.894	37.809	77.82	38.475	58.637	
740	37.26	96.1	37.104	77.983	37.877	58.729	
750	36.56	96.328	36.446	78.158	37.314	58.825	
760	35.908	96.575	35.828	78.344	36.782	58.925	
770	35.299	96.839	35.246	78.54	36.278	59.028	
780	34.728	97.118	34.696	78.745	35.799	59.135	
790	34.191	97.409	34.175	78.958	35.342	59.245	
800	33.685	97.711	33.68	79.177	34.904	59.357	
810	33.207	98.023	33.209	79.403	34.486	59.472	
820	32.754	98.343	32.759	79.633	34.083	59.589	
830	32.324	98.67	32.329	79.869	33.696	59.707	
840	31.915	99.003	31.917	80.109	33.323	59.827	
850	31.525	99.341	31.521	80.352	32.963	59.947	
860	31.153	99.684	31.14	80.598	32.614	60.069	
870	30.797	100.03	30.773	80.847	32.276	60.191	
880	30.456	100.38	30.419	81.098	31.949	60.313	
890	30.13	100.73	30.078	81.351	31.631	60.435	
900	29.816	101.09	29.748	81.605	31.322	60.557	
910	29.514	101.44	29.428	81.861	31.021	60.679	
920	29.224	101.8	29.118	82.117	30.729	60.801	
930	28.944	102.15	28.817	82.375	30.443	60.922	
940	28.675	102.51	28.525	82.632	30.165	61.042	
950	28.414	102.87	28.242	82.891	29.893	61.162	
960	28.163	103.23	27.966	83.149	29.627	61.281	
970	27.919	103.59	27.698	83.407	29.367	61.398	
980	27.684	103.94	27.436	83.665	29.113	61.515	
990	27.456	104.3	27.181	83.923	28.865	61.631	
1000	27.235	104.66	26.933	84.181	28.621	61.746	
