	65	65	70	70	75	75	
300	32.649	118.81	31.551	100.54	31.765	78.125	
310	33.512	99.035	33.811	80.041	35.264	59.881	
320	39.187	82.76	40.172	65.344	41.383	48.187	
330	52.054	67.67	52.002	50.924	51.023	35.814	
340	71.592	34.067	66.467	17.616	60.842	8.9185	
350	70.942	54.175	65.342	39.053	59.828	27.666	
360	56.385	80.397	54.529	63.458	52.301	46.988	
370	46.053	86.814	45.597	70.483	45.248	53.408	
380	40.654	89.296	40.646	72.824	41.113	55.341	
390	37.47	91.683	37.611	74.821	38.488	56.796	
400	35.347	94.02	35.51	76.74	36.612	58.152	
410	33.796	96.384	33.911	78.712	35.131	59.556	
420	32.543	98.699	32.569	80.661	33.849	60.938	
430	31.479	100.88	31.391	82.506	32.693	62.226	
440	30.549	102.92	30.336	84.222	31.635	63.397	
450	29.724	104.8	29.378	85.81	30.658	64.452	
460	28.982	106.55	28.501	87.28	29.75	65.4	
470	28.311	108.18	27.694	88.645	28.903	66.251	
480	27.699	109.7	26.946	89.919	28.11	67.019	
490	27.137	111.13	26.251	91.112	27.365	67.714	
500	26.619	112.48	25.602	92.236	26.662	68.344	
510	26.139	113.76	24.993	93.299	25.997	68.919	
520	25.692	114.97	24.42	94.309	25.367	69.443	
530	25.274	116.13	23.879	95.269	24.768	69.921	
540	24.882	117.23	23.366	96.186	24.197	70.357	
550	24.513	118.29	22.879	97.062	23.652	70.754	
560	24.164	119.3	22.417	97.9	23.131	71.115	
570	23.835	120.26	21.976	98.703	22.633	71.443	
580	23.523	121.19	21.556	99.473	22.157	71.739	
590	23.228	122.09	21.155	100.21	21.701	72.007	
600	22.947	122.94	20.772	100.93	21.264	72.249	
610	22.68	123.77	20.406	101.61	20.844	72.466	
620	22.426	124.57	20.055	102.28	20.442	72.661	
630	22.184	125.34	19.72	102.92	20.055	72.835	
640	21.953	126.08	19.397	103.54	19.684	72.99	
650	21.732	126.8	19.088	104.14	19.327	73.127	
660	21.521	127.5	18.792	104.72	18.983	73.248	
670	21.32	128.18	18.507	105.29	18.652	73.354	
680	21.127	128.83	18.233	105.84	18.333	73.446	
690	20.943	129.47	17.969	106.38	18.026	73.525	
700	20.766	130.08	17.715	106.9	17.73	73.591	
710	20.596	130.68	17.47	107.41	17.444	73.647	
720	20.434	131.27	17.234	107.9	17.168	73.693	
730	20.277	131.83	17.007	108.39	16.901	73.728	
740	20.127	132.39	16.787	108.86	16.644	73.755	
750	19.983	132.93	16.575	109.33	16.394	73.774	
760	19.844	133.45	16.371	109.79	16.153	73.785	
770	19.71	133.96	16.173	110.23	15.92	73.788	
780	19.582	134.46	15.981	110.67	15.693	73.785	
790	19.458	134.95	15.796	111.1	15.474	73.776	
800	19.338	135.43	15.617	111.52	15.262	73.761	
810	19.223	135.89	15.443	111.93	15.056	73.741	
820	19.112	136.35	15.275	112.34	14.856	73.715	
830	19.005	136.79	15.112	112.74	14.662	73.685	
840	18.901	137.23	14.954	113.14	14.473	73.65	
850	18.801	137.65	14.801	113.52	14.29	73.611	
860	18.705	138.07	14.652	113.91	14.112	73.568	
870	18.611	138.48	14.508	114.28	13.938	73.522	
880	18.521	138.88	14.368	114.65	13.77	73.471	
890	18.433	139.27	14.231	115.02	13.606	73.418	
900	18.349	139.66	14.099	115.38	13.446	73.362	
910	18.267	140.03	13.97	115.74	13.291	73.303	
920	18.187	140.4	13.845	116.09	13.14	73.241	
930	18.11	140.76	13.723	116.44	12.992	73.177	
940	18.036	141.12	13.605	116.78	12.848	73.111	
950	17.964	141.47	13.49	117.12	12.708	73.042	
960	17.893	141.81	13.377	117.45	12.571	72.971	
970	17.825	142.15	13.268	117.78	12.438	72.898	
980	17.759	142.48	13.162	118.11	12.307	72.824	
990	17.695	142.8	13.058	118.43	12.18	72.748	
1000	17.633	143.12	12.957	118.75	12.056	72.67	
