	65	65	70	70	75	75	
300	32.811	124.4	31.369	106.74	31.118	84.119	
310	32.964	105.81	32.842	86.632	34.026	65.419	
320	36.485	90.773	37.296	72.54	38.744	53.973	
330	44.634	79.265	45.492	62.187	45.962	45.539	
340	59.521	67.902	58.754	49.032	56.381	32.885	
350	79.232	29.099	72.442	8.5465	65.138	1.6772	
360	71.161	76.773	66.816	54.659	61.509	37.875	
370	53.949	85.587	52.533	68.401	50.798	51.137	
380	45.498	85.633	45.018	69.386	44.724	52.481	
390	40.997	86.811	40.947	70.474	41.367	53.337	
400	38.151	88.579	38.304	71.917	39.135	54.364	
410	36.13	90.645	36.362	73.605	37.446	55.566	
420	34.547	92.768	34.787	75.346	36.035	56.799	
430	33.243	94.813	33.448	77.023	34.802	57.971	
440	32.137	96.74	32.279	78.601	33.701	59.052	
450	31.178	98.544	31.239	80.074	32.703	60.041	
460	30.334	100.23	30.303	81.447	31.789	60.941	
470	29.581	101.81	29.452	82.73	30.944	61.761	
480	28.904	103.29	28.672	83.932	30.159	62.511	
490	28.288	104.69	27.951	85.064	29.425	63.198	
500	27.725	106.01	27.282	86.135	28.735	63.831	
510	27.207	107.27	26.657	87.151	28.085	64.415	
520	26.727	108.47	26.071	88.119	27.468	64.956	
530	26.28	109.61	25.518	89.043	26.882	65.457	
540	25.862	110.71	24.994	89.928	26.323	65.922	
550	25.469	111.76	24.498	90.775	25.789	66.352	
560	25.099	112.77	24.026	91.589	25.278	66.75	
570	24.75	113.75	23.576	92.37	24.788	67.119	
580	24.419	114.68	23.146	93.122	24.318	67.46	
590	24.106	115.58	22.736	93.847	23.866	67.776	
600	23.808	116.45	22.343	94.547	23.432	68.068	
610	23.525	117.3	21.966	95.222	23.014	68.338	
620	23.255	118.11	21.605	95.876	22.612	68.587	
630	22.998	118.9	21.258	96.51	22.224	68.818	
640	22.752	119.66	20.925	97.124	21.85	69.03	
650	22.518	120.4	20.605	97.721	21.49	69.227	
660	22.293	121.12	20.296	98.301	21.141	69.408	
670	22.078	121.82	19.999	98.866	20.805	69.575	
680	21.872	122.5	19.713	99.416	20.479	69.728	
690	21.675	123.17	19.436	99.952	20.165	69.869	
700	21.485	123.81	19.17	100.48	19.86	69.999	
710	21.303	124.44	18.912	100.99	19.565	70.118	
720	21.129	125.05	18.663	101.49	19.279	70.226	
730	20.96	125.65	18.423	101.98	19.002	70.325	
740	20.799	126.23	18.19	102.46	18.734	70.416	
750	20.643	126.8	17.965	102.93	18.473	70.498	
760	20.493	127.36	17.747	103.39	18.22	70.572	
770	20.348	127.9	17.535	103.84	17.974	70.639	
780	20.209	128.43	17.331	104.28	17.736	70.698	
790	20.074	128.95	17.132	104.72	17.504	70.752	
800	19.945	129.46	16.939	105.15	17.278	70.799	
810	19.819	129.96	16.753	105.57	17.059	70.84	
820	19.698	130.45	16.571	105.99	16.846	70.876	
830	19.581	130.93	16.395	106.39	16.638	70.906	
840	19.468	131.4	16.224	106.8	16.436	70.932	
850	19.359	131.86	16.057	107.19	16.239	70.953	
860	19.253	132.31	15.895	107.58	16.047	70.97	
870	19.15	132.75	15.738	107.97	15.86	70.982	
880	19.051	133.19	15.585	108.35	15.677	70.991	
890	18.955	133.61	15.436	108.72	15.499	70.996	
900	18.862	134.03	15.291	109.09	15.326	70.997	
910	18.771	134.44	15.15	109.46	15.156	70.995	
920	18.684	134.84	15.012	109.82	14.991	70.989	
930	18.599	135.24	14.878	110.18	14.83	70.981	
940	18.517	135.63	14.747	110.53	14.672	70.97	
950	18.437	136.01	14.62	110.88	14.518	70.956	
960	18.359	136.39	14.496	111.22	14.367	70.939	
970	18.284	136.76	14.375	111.56	14.22	70.92	
980	18.211	137.12	14.256	111.9	14.076	70.898	
990	18.139	137.48	14.141	112.23	13.935	70.875	
1000	18.07	137.83	14.028	112.56	13.798	70.848	
