	65	65	70	70	75	75	
300	34.584	226.53	34.038	249.25	34.96	-84.191	
310	35.888	243.69	36.791	265.59	38.708	-71.261	
320	39.34	253.2	41.663	-87.885	44.292	-68.099	
330	46.055	253.67	50.964	268.38	55.849	-73.688	
340	58.576	239.24	69.524	245.16	81.559	-84.468	
350	70.934	181.17	74.523	124.88	67.629	75.598	
360	59.789	120.59	55.412	91.65	51.069	66.864	
370	47.777	102.75	45.121	83.107	43.523	63.385	
380	41.188	99.183	39.556	82.693	39.001	64.538	
390	36.777	101.36	35.418	85.994	35.173	67.903	
400	33.47	106.04	31.941	91.114	31.567	72.409	
410	30.838	112.22	28.832	97.628	27.961	77.926	
420	28.618	119.42	25.907	105.36	24.193	84.397	
430	26.699	127.34	23.133	114.23	20.251	91.875	
440	25.041	135.76	20.557	124.31	16.221	100.77	
450	23.634	144.55	18.266	135.73	12.263	112.24	
460	22.476	153.59	16.369	148.6	8.6528	129.21	
470	21.568	162.73	14.975	162.81	5.9949	158.48	
480	20.906	171.83	14.161	177.85	5.4572	201.63	
490	20.478	180.77	13.937	192.82	7.1186	234.96	
500	20.266	189.39	14.232	206.78	9.6069	253.34	
510	20.245	197.59	14.924	219.11	12.193	264.39	
520	20.389	205.29	15.882	229.66	14.654	-88.038	
530	20.67	212.43	16.998	238.54	16.927	-82.352	
540	21.063	219	18.194	246	19.005	-77.832	
550	21.545	225.01	19.419	252.31	20.897	-74.106	
560	22.1	230.48	20.642	257.67	22.623	-70.963	
570	22.711	235.44	21.847	262.26	24.204	-68.271	
580	23.369	239.92	23.026	266.22	25.663	-65.941	
590	24.066	243.98	24.179	269.66	27.018	-63.91	
600	24.798	247.65	25.307	-87.338	28.29	-62.133	
610	25.56	250.96	26.415	-84.705	29.494	-60.571	
620	26.353	253.95	27.508	-82.39	30.648	-59.196	
630	27.177	256.65	28.594	-80.347	31.764	-57.982	
640	28.034	259.09	29.681	-78.541	32.856	-56.907	
650	28.927	261.29	30.775	-76.94	33.936	-55.952	
660	29.859	263.27	31.885	-75.517	35.014	-55.098	
670	30.835	265.06	33.019	-74.248	36.101	-54.328	
680	31.859	266.68	34.184	-73.111	37.206	-53.626	
690	32.937	268.14	35.389	-72.086	38.337	-52.972	
700	34.074	269.46	36.64	-71.153	39.503	-52.351	
710	35.277	-89.34	37.947	-70.293	40.709	-51.743	
720	36.552	-88.251	39.316	-69.487	41.964	-51.128	
730	37.905	-87.256	40.753	-68.715	43.271	-50.485	
740	39.344	-86.34	42.267	-67.957	44.633	-49.789	
750	40.874	-85.489	43.861	-67.189	46.054	-49.014	
760	42.503	-84.688	45.54	-66.388	47.533	-48.132	
770	44.237	-83.92	47.308	-65.526	49.067	-47.109	
780	46.08	-83.17	49.165	-64.571	50.651	-45.909	
790	48.038	-82.418	51.111	-63.487	52.275	-44.491	
800	50.115	-81.644	53.141	-62.229	53.927	-42.812	
810	52.311	-80.822	55.247	-60.746	55.586	-40.823	
820	54.627	-79.924	57.416	-58.973	57.231	-38.474	
830	57.059	-78.91	59.63	-56.829	58.832	-35.715	
840	59.6	-77.731	61.863	-54.216	60.356	-32.504	
850	62.241	-76.32	64.08	-51.012	61.763	-28.807	
860	64.965	-74.584	66.238	-47.069	63.014	-24.617	
870	67.751	-72.381	68.278	-42.219	64.069	-19.958	
880	70.569	-69.497	70.131	-36.288	64.893	-14.897	
890	73.375	-65.585	71.713	-29.151	65.457	-9.5471	
900	76.107	-60.062	72.934	-20.806	65.75	-4.0593	
910	78.662	-51.924	73.713	-11.479	65.774	1.3985	
920	80.86	-39.539	73.999	-1.6674	65.544	6.6657	
930	82.386	-21.102	73.793	7.9744	65.091	11.612	
940	82.839	2.2928	73.149	16.854	64.45	16.151	
950	82.097	24.248	72.155	24.621	63.661	20.239	
960	80.51	40.158	70.907	31.182	62.76	23.869	
970	78.493	50.643	69.493	36.616	61.781	27.062	
980	76.302	57.61	67.981	41.081	60.753	29.85	
990	74.068	62.428	66.424	44.747	59.7	32.277	
1000	71.861	65.903	64.86	47.768	58.639	34.385	
