wavelength,psi60,psi65,psi70,thickness,delta60,delta65,delta70
400.0,25.694,20.165,12.521,3,171.72,167.23,155.34
410.0,24.673,18.962,11.063,3,171.97,168.39,155.78
420.0,23.881,17.893,10.008,3,172.41,168.16,155.31
430.0,23.205,17.091,8.9905,3,172.31,167.83,154.16
440.0,22.558,16.324,8.1211,3,172.68,168.35,154.47
450.0,22.067,15.655,7.4026,3,172.22,169.01,153.95
460.0,21.605,15.184,6.7558,3,173.22,169.42,152.71
470.0,21.157,14.631,6.1742,3,174.13,169.2,150.81
480.0,20.763,14.245,5.7238,3,174.49,169.23,149.22
490.0,20.407,13.765,5.2931,3,174.74,169.09,147.74
500.0,20.099,13.424,4.8879,3,174.16,169.87,147.47
510.0,19.823,13.107,4.5219,3,174.4,169.45,146.21
520.0,19.569,12.783,4.1848,3,174.17,170.17,144.93
530.0,19.32,12.495,3.9407,3,174.61,170.61,142.45
540.0,19.09,12.227,3.6093,3,174.53,170.15,141.79
550.0,18.896,11.971,3.4073,3,174.43,170.74,139.25
560.0,18.698,11.76,3.1794,3,175.09,169.95,137.55
570.0,18.515,11.56,2.9264,3,175.0,170.94,136.36
580.0,18.351,11.36,2.7998,3,175.41,171.08,133.55
590.0,18.192,11.172,2.6076,3,175.72,171.48,130.9
600.0,18.05,10.997,2.4209,3,175.17,170.89,130.24
610.0,17.913,10.857,2.3498,3,175.31,170.94,126.58
620.0,17.777,10.708,2.22,3,175.39,171.11,124.32
630.0,17.66,10.56,1.9808,3,174.86,171.12,121.9
640.0,17.529,10.433,1.9869,3,175.56,171.25,118.29
650.0,17.443,10.303,1.8337,3,176.11,170.86,115.61
660.0,17.327,10.188,1.7624,3,175.91,171.47,112.4
670.0,17.228,10.062,1.6971,3,175.96,171.82,110.01
680.0,17.134,9.9415,1.6416,3,175.93,171.82,106.36
690.0,17.037,9.8386,1.6085,3,176.13,170.91,102.3
700.0,16.968,9.7304,1.5621,3,176.36,171.72,98.734
710.0,16.878,9.6361,1.524,3,176.26,171.65,95.892
720.0,16.815,9.6166,1.5603,3,175.92,171.87,91.777
730.0,16.731,9.4869,1.4034,3,176.04,172.15,89.006
740.0,16.668,9.4148,1.4422,3,176.72,172.66,85.292
750.0,16.598,9.3312,1.3257,3,176.25,171.74,82.416
760.0,16.528,9.2515,1.3655,3,176.93,173.3,79.238
770.0,16.479,9.2141,1.3301,3,175.75,173.02,76.36
780.0,16.397,9.1543,1.3491,3,176.76,170.52,71.514
790.0,16.354,9.0592,1.4558,3,177.58,172.18,71.395
800.0,16.297,8.9886,1.3879,3,178.11,171.74,66.483
810.0,16.241,8.9321,1.4008,3,176.28,172.33,65.6
820.0,16.204,8.8658,1.4018,3,176.5,173.02,61.814
830.0,16.167,8.8336,1.4215,3,177.31,172.67,60.393
840.0,16.129,8.7919,1.445,3,178.92,172.65,58.487
850.0,16.08,8.7233,1.3764,3,177.01,171.62,55.195
860.0,16.037,8.6555,1.4928,3,175.72,172.62,54.85
870.0,15.958,8.6173,1.5058,3,177.38,174.73,53.231
880.0,15.943,8.5752,1.4756,3,177.2,173.52,49.253
890.0,15.9,8.5339,1.4895,3,177.26,173.34,47.808
900.0,15.869,8.4858,1.4929,3,176.94,173.53,45.463
910.0,15.825,8.4483,1.5703,3,178.24,173.34,45.783
920.0,15.797,8.4173,1.5434,3,177.42,173.56,43.124
930.0,15.767,8.3891,1.5797,3,177.78,172.17,43.363
940.0,15.731,8.3419,1.5498,3,178.07,173.14,39.825
950.0,15.672,8.2919,1.6735,3,177.39,174.18,41.97
960.0,15.676,8.2632,1.6848,3,180.0,173.15,40.021
970.0,15.621,8.2025,1.6293,3,178.68,174.34,35.893
980.0,15.605,8.199,1.6559,3,177.14,173.43,34.953
990.0,15.584,8.1585,1.6872,3,176.94,174.19,35.329
1000.0,15.553,8.1133,1.581,3,178.74,173.22,29.56
