wavelength,psi60,psi65,psi70,thickness,delta60,delta65,delta70
400.0,32.528,31.563,31.992,37.8,114.39,96.829,75.356
410.0,31.478,30.444,30.823,37.8,115.06,97.207,75.297
420.0,30.557,29.438,29.847,37.8,115.73,97.532,75.263
430.0,29.776,28.557,28.953,37.8,116.37,97.907,75.209
440.0,29.045,27.759,28.159,37.8,117.01,98.35,75.166
450.0,28.386,27.022,27.383,37.8,117.69,98.73,75.142
460.0,27.815,26.317,26.666,37.8,118.34,99.1,75.11
470.0,27.224,25.68,26.043,37.8,118.95,99.553,75.124
480.0,26.725,25.073,25.427,37.8,119.59,99.953,75.102
490.0,26.234,24.482,24.824,37.8,120.24,100.4,75.082
500.0,25.784,23.968,24.292,37.8,120.88,100.8,75.087
510.0,25.348,23.485,23.74,37.8,121.5,101.24,75.072
520.0,24.958,23.008,23.269,37.8,122.14,101.64,75.081
530.0,24.59,22.531,22.782,37.8,122.72,102.09,75.021
540.0,24.241,22.097,22.316,37.8,123.35,102.5,75.016
550.0,23.921,21.696,21.921,37.8,123.94,102.9,75.034
560.0,23.585,21.293,21.475,37.8,124.55,103.34,75.002
570.0,23.309,20.932,21.078,37.8,125.12,103.73,74.977
580.0,23.028,20.579,20.694,37.8,125.68,104.12,74.95
590.0,22.748,20.211,20.325,37.8,126.25,104.56,74.927
600.0,22.498,19.89,19.989,37.8,126.82,104.98,74.93
610.0,22.261,19.595,19.654,37.8,127.39,105.32,74.876
620.0,22.034,19.286,19.307,37.8,127.95,105.75,74.886
630.0,21.825,18.981,18.992,37.8,128.42,106.21,74.818
640.0,21.596,18.699,18.682,37.8,129.07,106.54,74.759
650.0,21.381,18.433,18.398,37.8,129.5,106.98,74.762
660.0,21.189,18.163,18.094,37.8,130.0,107.31,74.695
670.0,21.016,17.931,17.823,37.8,130.49,107.7,74.646
680.0,20.835,17.686,17.559,37.8,130.98,108.09,74.612
690.0,20.657,17.457,17.317,37.8,131.49,108.51,74.596
700.0,20.497,17.221,17.072,37.8,131.99,108.89,74.526
710.0,20.329,17.01,16.817,37.8,132.43,109.27,74.481
720.0,20.17,16.81,16.585,37.8,132.89,109.56,74.452
730.0,20.038,16.598,16.346,37.8,133.35,109.93,74.372
740.0,19.911,16.41,16.125,37.8,133.79,110.3,74.322
750.0,19.756,16.218,15.922,37.8,134.28,110.72,74.255
760.0,19.624,16.028,15.697,37.8,134.74,111.11,74.271
770.0,19.516,15.853,15.505,37.8,135.13,111.43,74.116
780.0,19.378,15.676,15.279,37.8,135.6,111.87,74.067
790.0,19.254,15.473,15.087,37.8,135.99,112.15,74.039
800.0,19.154,15.309,14.893,37.8,136.4,112.5,73.987
810.0,19.051,15.156,14.706,37.8,136.75,112.9,73.954
820.0,18.939,14.994,14.514,37.8,137.23,113.21,73.869
830.0,18.854,14.867,14.368,37.8,137.55,113.49,73.82
840.0,18.746,14.716,14.198,37.8,137.94,113.84,73.744
850.0,18.66,14.567,14.051,37.8,138.32,114.19,73.639
860.0,18.549,14.458,13.877,37.8,138.77,114.54,73.581
870.0,18.462,14.304,13.71,37.8,139.04,114.85,73.545
880.0,18.379,14.175,13.546,37.8,139.46,115.25,73.429
890.0,18.299,14.065,13.422,37.8,139.8,115.53,73.323
900.0,18.218,13.927,13.277,37.8,140.14,115.83,73.249
910.0,18.146,13.808,13.122,37.8,140.46,116.15,73.191
920.0,18.076,13.697,12.989,37.8,140.76,116.45,73.126
930.0,17.996,13.577,12.837,37.8,141.13,116.77,73.021
940.0,17.932,13.469,12.707,37.8,141.48,117.11,72.937
950.0,17.856,13.353,12.556,37.8,141.81,117.39,72.826
960.0,17.787,13.252,12.447,37.8,142.12,117.64,72.732
970.0,17.713,13.157,12.323,37.8,142.42,118.04,72.68
980.0,17.656,13.04,12.198,37.8,142.76,118.32,72.562
990.0,17.595,12.941,12.06,37.8,143.05,118.62,72.504
1000.0,17.536,12.854,11.987,37.8,143.29,118.91,72.396
