	65	70	75	
300	108.01	91.236	71.63	
310	109.05	92.118	72.296	
320	110.18	93.296	73.135	
330	111.62	94.755	74.356	
340	113.37	96.415	75.794	
350	115.26	98.381	77.813	
360	118.35	102.09	81.375	
370	123.66	107.65	86.886	
380	127.57	111.49	89.625	
390	129.08	112.72	89.87	
400	130.15	113.35	89.615	
410	130.95	113.78	89.167	
420	131.68	114.18	88.761	
430	132.39	114.6	88.362	
440	133.03	114.96	87.972	
450	133.69	115.37	87.569	
460	134.36	115.73	87.181	
470	134.93	116.07	86.835	
480	135.57	116.46	86.482	
490	136.14	116.86	86.108	
500	136.68	117.19	85.78	
510	137.25	117.55	85.44	
520	137.76	117.93	85.132	
530	138.28	118.29	84.787	
540	138.82	118.66	84.51	
550	139.35	119.03	84.184	
560	139.88	119.39	83.866	
570	140.38	119.75	83.595	
580	140.85	120.1	83.318	
590	141.31	120.43	83.014	
600	141.75	120.82	82.722	
610	142.23	121.16	82.438	
620	142.67	121.51	82.137	
630	143.12	121.88	81.873	
640	143.56	122.29	81.603	
650	143.97	122.62	81.396	
660	144.36	122.97	81.122	
670	144.74	123.3	80.895	
680	145.11	123.68	80.599	
690	145.55	124.04	80.379	
700	145.94	124.37	80.113	
710	146.3	124.72	79.855	
720	146.66	125.06	79.637	
730	147.04	125.37	79.384	
740	147.37	125.72	79.135	
750	147.78	126.1	78.88	
760	148.11	126.44	78.61	
770	148.42	126.77	78.403	
780	148.77	127.11	78.147	
790	149.09	127.45	77.895	
800	149.4	127.76	77.679	
810	149.71	128.09	77.433	
820	150.07	128.44	77.164	
830	150.29	128.68	76.973	
840	150.62	129.04	76.724	
850	150.94	129.31	76.503	
860	151.2	129.66	76.241	
870	151.48	129.95	75.995	
880	151.79	130.3	75.75	
890	152.02	130.57	75.575	
900	152.3	130.87	75.354	
910	152.58	131.14	75.084	
920	152.81	131.43	74.892	
930	153.04	131.71	74.657	
940	153.28	132.04	74.404	
950	153.56	132.29	74.173	
960	153.75	132.62	73.952	
970	154	132.84	73.729	
980	154.31	133.15	73.5	
990	154.57	133.43	73.214	
1000	154.68	133.7	73.087	
