	65	70	75	
400	32.528	31.563	31.992	
410	31.478	30.444	30.823	
420	30.557	29.438	29.847	
430	29.776	28.557	28.953	
440	29.045	27.759	28.159	
450	28.386	27.022	27.383	
460	27.815	26.317	26.666	
470	27.224	25.68	26.043	
480	26.725	25.073	25.427	
490	26.234	24.482	24.824	
500	25.784	23.968	24.292	
510	25.348	23.485	23.74	
520	24.958	23.008	23.269	
530	24.59	22.531	22.782	
540	24.241	22.097	22.316	
550	23.921	21.696	21.921	
560	23.585	21.293	21.475	
570	23.309	20.932	21.078	
580	23.028	20.579	20.694	
590	22.748	20.211	20.325	
600	22.498	19.89	19.989	
610	22.261	19.595	19.654	
620	22.034	19.286	19.307	
630	21.825	18.981	18.992	
640	21.596	18.699	18.682	
650	21.381	18.433	18.398	
660	21.189	18.163	18.094	
670	21.016	17.931	17.823	
680	20.835	17.686	17.559	
690	20.657	17.457	17.317	
700	20.497	17.221	17.072	
710	20.329	17.01	16.817	
720	20.17	16.81	16.585	
730	20.038	16.598	16.346	
740	19.911	16.41	16.125	
750	19.756	16.218	15.922	
760	19.624	16.028	15.697	
770	19.516	15.853	15.505	
780	19.378	15.676	15.279	
790	19.254	15.473	15.087	
800	19.154	15.309	14.893	
810	19.051	15.156	14.706	
820	18.939	14.994	14.514	
830	18.854	14.867	14.368	
840	18.746	14.716	14.198	
850	18.66	14.567	14.051	
860	18.549	14.458	13.877	
870	18.462	14.304	13.71	
880	18.379	14.175	13.546	
890	18.299	14.065	13.422	
900	18.218	13.927	13.277	
910	18.146	13.808	13.122	
920	18.076	13.697	12.989	
930	17.996	13.577	12.837	
940	17.932	13.469	12.707	
950	17.856	13.353	12.556	
960	17.787	13.252	12.447	
970	17.713	13.157	12.323	
980	17.656	13.04	12.198	
990	17.595	12.941	12.06	
1000	17.536	12.854	11.987	
